,Commissioning Region/Provider,Certain infectious and parasitic diseases,Neoplasms,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Endocrine, nutritional and metabolic diseases",Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,"Pregnancy, childbirth and the puerperium",Certain conditions originating in the perinatal period,"Congenital malformations, deformations and chromosomal abnormalities","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Injury, poisoning and certain other consequences of external causes",Factors influencing health status and contact with health services,Date Period,Unnamed: 0,Codes for special purposes,Provider Code,ONS Geography Code
111, RJ6 Mayday Healthcare NHS Trust , 672 ," 3,060 "," 1,270 ", 767 , 303 , 977 ," 2,512 ", 300 ," 3,460 "," 2,977 "," 9,803 "," 1,014 "," 2,913 "," 4,934 "," 8,951 "," 1,411 ", 155 ," 11,200 "," 3,704 "," 6,166 ",0809,,,,
112, RJ7 St George's Healthcare NHS Trust ," 1,049 "," 7,287 "," 1,230 ", 964 , 554 ," 2,547 ", 187 , 599 ," 9,406 "," 4,713 "," 8,701 "," 1,867 "," 3,571 "," 7,557 "," 10,279 "," 1,073 "," 1,400 "," 9,193 "," 7,567 "," 8,486 ",0809,,,,
113, RJZ King's College Hospital NHS Foundation Trust ," 1,035 "," 7,501 "," 1,840 "," 2,534 ", 408 ," 2,899 "," 4,231 ", 40 ," 7,925 "," 2,267 "," 17,945 "," 1,980 "," 4,541 "," 4,606 "," 14,592 ", 432 , 751 ," 6,668 "," 4,580 "," 20,041 ",0809,,,,
114, RKE The Whittington Hospital NHS Trust , 565 ," 4,156 "," 2,679 ", 626 , 521 , 743 , 34 , 102 ," 2,070 "," 2,342 "," 5,190 "," 1,155 "," 4,184 "," 3,590 "," 8,016 ", 795 , 129 ," 4,397 "," 2,856 "," 3,985 ",0809,,,,
115, RKL West London Mental Health NHS Trust , -   , -   , -   , -   , 865 , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 159 , -   , * ,0809,,,,
116, RNH Newham University Hospital NHS Trust , 556 ," 3,528 "," 1,007 ", 445 , 278 , 542 , 55 , 200 ," 1,393 "," 2,195 "," 4,136 ", 991 ," 2,355 "," 3,077 "," 17,608 "," 1,667 ", 298 ," 7,928 "," 2,736 "," 10,450 ",0809,,,,
117, RNJ Barts and The London NHS Trust ," 1,148 "," 7,481 "," 2,385 "," 1,452 ", 578 ," 1,844 ", 884 , 478 ," 10,030 "," 5,008 "," 10,099 "," 1,507 "," 4,757 "," 4,666 "," 8,838 ", 946 ," 1,072 "," 10,394 "," 7,395 "," 6,213 ",0809,,,,
118, RP4 Great Ormond Street Hospital for Children NHS Trust , 130 ," 3,544 ", 595 ," 1,484 ", 106 ," 1,479 ", 314 , 269 , 573 , 724 ," 1,699 ", 373 ," 1,512 "," 3,637 ", -   , 149 ," 5,205 ", 550 , 411 , 231 ,0809,,,,
119, RP6 Moorfields Eye Hospital NHS Foundation Trust , 78 , 415 , 8 , 472 , * , 22 ," 25,756 ", -   , * , -   , -   , 57 , 14 , -   , -   , -   , 535 , 38 , 286 , 66 ,0809,,,,
120, RPG Oxleas NHS Foundation Trust , -   , -   , -   , -   ," 1,855 ", 71 , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , 149 , -   , * ,0809,,,,
121, RPY The Royal Marsden NHS Foundation Trust , 7 ," 22,442 ", 178 , 23 , -   , 8 , -   , -   , 11 , 11 , 113 , 101 , 23 , 318 , -   , -   , 29 , 153 , 38 , 303 ,0809,,,,
122, RQM Chelsea and Westminster Hospital NHS Foundation Trust ," 2,300 "," 3,155 ", 773 , 966 , 261 ," 1,126 "," 1,139 ", 196 ," 1,955 "," 2,262 "," 8,082 "," 1,804 "," 3,884 "," 4,106 "," 11,759 ", 641 , 748 ," 6,266 "," 5,669 "," 7,955 ",0809,,,,
123, RQX Homerton University Hospital NHS Foundation Trust , 783 ," 1,116 "," 1,450 ", 644 , 388 , 683 , 53 , 161 ," 1,505 "," 2,419 "," 5,601 ", 981 ," 2,268 "," 2,536 "," 12,866 ", 971 , 132 ," 5,141 "," 2,372 "," 4,637 ",0809,,,,
124, RQY South West London and St George's Mental Health NHS Trust , * , -   , -   , -   ," 1,170 ", * , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   ," 2,120 ", -   , 9 ,0809,,,,
125," RRP Barnet, Enfield and Haringey Mental Health NHS Trust ", -   , -   , -   , -   ," 1,133 ", * , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   ," 1,248 ", 8 , 28 ,0809,,,,
126, RRV University College London Hospitals NHS Foundation Trust ," 1,768 "," 22,027 "," 3,766 "," 1,527 ", 569 ," 8,407 ", 966 , 57 ," 6,140 "," 2,425 "," 12,885 "," 1,024 "," 6,605 "," 5,281 "," 6,339 ", 634 ," 1,217 "," 8,576 "," 4,595 "," 8,974 ",0809,,,,
127, RT3 Royal Brompton and Harefield NHS Trust , 98 ," 1,221 "," 1,255 "," 1,840 ", 11 ," 2,590 ", * , * ," 9,926 "," 6,615 ", 75 , 13 , 134 , 23 , * , 24 ," 1,689 "," 2,255 ", 704 , 809 ,0809,,,,
128, RV3 Central and North West London NHS Foundation Trust , -   , -   , * , -   ," 2,622 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 393 , -   , 48 ,0809,,,,
129, RV5 South London and Maudsley NHS Foundation Trust , * , -   , -   , -   ," 3,712 ", * , -   , -   , * , -   , -   , -   , * , -   , -   , -   , -   ," 1,550 ", * , 139 ,0809,,,,
130, RV8 North West London Hospitals NHS Trust ," 1,751 "," 6,964 "," 2,132 "," 1,441 ", 462 ," 1,300 "," 1,763 ", 687 ," 5,607 "," 6,466 "," 15,252 "," 1,830 "," 6,275 "," 7,528 "," 9,471 "," 1,355 ", 331 ," 11,682 "," 6,131 "," 7,737 ",0809,,,,
131, RVL Barnet and Chase Farm Hospitals NHS Trust ," 1,515 "," 9,989 "," 1,528 "," 1,269 ", 617 ," 1,621 ", 739 , 406 ," 6,465 "," 6,435 "," 15,719 "," 2,966 "," 7,047 "," 9,594 "," 12,581 "," 1,836 ", 531 ," 13,238 "," 6,482 "," 10,001 ",0809,,,,
132, RVR-X Epsom and St Helier University Hospitals NHS Trust , 921 ," 3,181 "," 1,071 "," 1,026 ", 499 ," 1,250 "," 2,274 ", 668 ," 5,507 "," 4,505 "," 10,533 "," 1,270 "," 9,228 "," 8,024 "," 6,661 "," 3,784 ", 969 ," 10,012 "," 5,974 "," 8,120 ",0809,,,,
133, RWK East London NHS Foundation Trust , -   , -   , -   , * ," 2,869 ", 9 , -   , -   , -   , -   , -   , * , -   , -   , -   , * , -   , 21 , * , 56 ,0809,,,,
134, RYJ Imperial College Healthcare NHS Trust ," 1,844 "," 17,284 "," 3,361 "," 3,280 ", 939 ," 5,357 "," 5,270 ", 618 ," 14,821 "," 6,727 "," 16,156 "," 2,876 "," 9,182 "," 10,938 "," 24,575 "," 1,976 "," 1,031 "," 16,318 "," 7,126 "," 19,927 ",0809,,,,
135, TAF Camden and Islington Mental Health and Social Care Trust , -   , -   , -   , -   , 745 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,009 ", -   , 144 ,0809,,,,
136,,,,,,,,,,,,,,,,,,,,,,0809,,,,
137, Q30 North East Strategic Health Authority ," 12,176 "," 108,070 "," 13,193 "," 13,087 "," 5,488 "," 18,191 "," 34,751 "," 6,174 "," 54,677 "," 48,545 "," 99,012 "," 18,744 "," 65,083 "," 47,188 "," 60,776 "," 11,275 "," 6,485 "," 118,536 "," 59,242 "," 61,533 ",0809,,,,
138, 5KG South Tyneside PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 339 , -   , -   , -   , -   , -   , -   , * , * , -   ,0809,,,,
139, 5KL Sunderland Teaching PCT , -   , 256 , -   , * , -   , 14 , -   , -   , * , * , -   , -   , -   , -   , -   , -   , -   , 7 , -   , -   ,0809,,,,
140, 5QR Redcar and Cleveland PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , -   , -   ,0809,,,,
141," NT229 Nuffield Health, Newcastle-Upon-Tyne Hospital ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0809,,,,
142," NT237 Nuffield Health, Tees Hospital ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0809,,,,
143, NT333 Spire Washington Hospital , * , 71 , -   , * , -   , 79 , -   , * , 113 , 37 , 151 , 17 , 797 , 48 , -   , -   , * , 563 , -   , * ,0809,,,,
144, NTYH9 Tyneside Surgical Services Ltd , -   , 15 , -   , -   , -   , 15 , 21 , -   , * , * , 91 , 11 , 158 , * , -   , -   , * , * , * , * ,0809,,,,
145, NVC29 Cobalt NHS Treatment Centre , -   , 451 , 31 , -   , * , * , -   , -   , 24 , -   , 684 , 343 , * , -   , -   , -   , 90 , 498 , -   , -   ,0809,,,,
146, NVC35 Tees Valley Treatment Centre , -   , 113 , * , -   , * , -   , -   , -   , 62 , * , 824 , 73 , 542 , 43 , -   , -   , -   , 864 , * , -   ,0809,,,,
147, RE9 South Tyneside NHS Foundation Trust , * ," 4,645 ", 683 , 507 , 120 , * , 26 , * ," 2,443 "," 2,103 "," 5,594 ", 722 ," 2,013 "," 1,187 "," 2,695 ", 610 , 107 ," 4,664 "," 1,976 "," 1,990 ",0809,,,,
148, RLN City Hospitals Sunderland NHS Foundation Trust ," 1,002 "," 12,050 "," 1,513 "," 2,448 ", 482 ," 2,570 "," 13,180 "," 1,384 "," 5,697 "," 5,184 "," 11,921 "," 1,831 "," 7,782 "," 7,252 "," 6,291 ", 665 , 498 ," 16,981 "," 6,925 "," 8,672 ",0809,,,,
149, RR7 Gateshead Health NHS Foundation Trust ," 1,082 ", * , * , 529 , 391 , 898 , 43 , 87 ," 2,827 "," 3,899 "," 4,106 ", 822 ," 3,316 "," 2,500 "," 3,199 "," 1,095 ", 124 ," 5,870 "," 3,712 "," 1,916 ",0809,,,,
150, RTD The Newcastle Upon Tyne Hospitals NHS Foundation Trust ," 2,039 "," 32,678 "," 3,366 "," 3,174 ", 603 ," 4,994 "," 10,718 "," 1,851 "," 13,219 "," 8,813 "," 18,516 "," 4,022 "," 13,379 "," 10,620 "," 9,874 "," 1,597 "," 3,424 "," 21,313 "," 12,267 "," 16,266 ",0809,,,,
151, RTF Northumbria Healthcare NHS Foundation Trust ," 1,746 "," 11,511 "," 1,730 "," 1,316 ", 908 ," 1,832 ", 160 , 425 ," 7,624 "," 6,547 "," 15,502 "," 1,913 "," 10,704 "," 5,957 "," 7,761 "," 1,434 ", 248 ," 17,063 "," 8,554 "," 9,045 ",0809,,,,
152, RTR South Tees Hospitals NHS Trust ," 1,926 "," 21,387 "," 2,257 "," 2,031 ", 434 ," 3,859 "," 6,729 "," 1,389 "," 10,315 "," 8,577 "," 14,427 "," 3,182 "," 10,415 "," 8,492 "," 9,911 "," 2,907 "," 1,085 "," 16,551 "," 10,264 "," 8,483 ",0809,,,,
153, RVW North Tees and Hartlepool NHS Foundation Trust ," 1,430 "," 9,225 "," 1,404 "," 1,006 ", 385 ," 1,312 ", 86 , 147 ," 4,965 "," 5,450 "," 12,417 "," 1,564 "," 8,533 "," 5,425 "," 8,284 "," 1,049 ", 201 ," 11,487 "," 5,207 "," 5,081 ",0809,,,,
154," RX3 Tees, Esk and Wear Valleys NHS Foundation Trust ", -   , * , 8 , 12 ," 1,514 ", 124 , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , 20 ," 3,171 ", * , 637 ,0809,,,,
155," RX4 Northumberland, Tyne and Wear NHS Trust ", -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   ," 3,285 ", -   , 146 ,0809,,,,
156, RXP County Durham and Darlington NHS Foundation Trust ," 2,224 "," 13,604 "," 1,796 "," 2,060 ", 631 ," 2,020 "," 3,788 ", 843 ," 7,380 "," 7,927 "," 14,440 "," 4,244 "," 7,389 "," 5,648 "," 12,761 "," 1,918 ", 685 ," 16,197 "," 10,327 "," 9,231 ",0809,,,,
157,,,,,,,,,,,,,,,,,,,,,,0809,,,,
158, Q31 North West Strategic Health Authority ," 29,924 "," 182,056 "," 37,229 "," 34,367 "," 30,223 "," 38,310 "," 80,665 "," 16,362 "," 152,988 "," 127,918 "," 266,615 "," 48,157 "," 172,188 "," 138,061 "," 194,344 "," 31,552 "," 16,953 "," 287,577 "," 147,830 "," 159,138 ",0809,,,,
159, 5J2 Warrington Pct , -   , -   , * , -   , -   , -   , -   , -   , * , -   , * , -   , * , -   , -   , -   , -   , 284 , * , -   ,0809,,,,
160, 5NE Cumbria Teaching PCT , 38 , 231 , 31 , 48 , 64 , 117 , * , * , 269 , 300 , 161 , 111 , 154 , 167 , -   , -   , * , 519 , 252 , 366 ,0809,,,,
161, 5NG Central Lancashire PCT , * , 10 , * , * , * , * , -   , * , 15 , 9 , * , * , 20 , * , -   , -   , -   , 32 , 6 , 31 ,0809,,,,
162, 5NL Liverpool PCT , 10 , 30 , 16 , 28 , 9 , 15 , -   , -   , 79 , 109 , 63 , 24 , 68 , 65 , -   , -   , -   , 252 , 162 , 26 ,0809,,,,
163, 5NN Western Cheshire PCT , * , 16 , * , * , * , 7 , -   , -   , 124 , 32 , 29 , 20 , 19 , 34 , -   , -   , -   , 324 , 99 , * ,0809,,,,
164," NT210 Nuffield Health, The Grosvenor Hospital, Chester ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0809,,,,
165, NT324 Spire Cheshire Hospital , -   , 6 , * , -   , -   , 52 , 26 , 16 , 68 , 94 , 208 , 13 , 659 , 226 , -   , -   , * , 255 , -   , 23 ,0809,,,,
166, NT325 Spire Murrayfield Hospital , -   , 6 , * , -   , -   , 32 , * , 15 , 161 , 68 , 255 , 20 , 534 , 206 , -   , -   , * , 297 , -   , 9 ,0809,,,,
167, NT327 Spire Manchester Hospital , -   , 6 , * , * , -   , 55 , -   , * , 26 , 7 , 71 , * , 256 , 79 , -   , -   , -   , 137 , -   , * ,0809,,,,
168, NT337 Spire Liverpool Hospital , -   , -   , 9 , -   , -   , 10 , -   , 17 , 111 , 99 , 217 , 9 , 168 , 162 , -   , -   , -   , 409 , -   , 10 ,0809,,,,
169, NT339 Spire Regency Hospital , -   , -   , -   , 128 , -   , 21 , -   , -   , 15 , * , 86 , -   , 322 , 22 , -   , -   , -   , 86 , -   , * ,0809,,,,
170, NT340 BMI South Cheshire Private Hospital (Spire) , -   , -   , -   , -   , -   , 15 , -   , * , 15 , 12 , 35 , * , 162 , 16 , -   , -   , -   , 139 , -   , -   ,0809,,,,
171, NT347 Spire Fylde Coast Hospital , -   , * , -   , * , -   , 19 , 55 , -   , * , 17 , 25 , * , 156 , * , -   , -   , -   , 20 , * , -   ,0809,,,,
172, NT401 BMI - The Alexandra Hospital , -   , -   , -   , -   , -   , -   , -   , -   , 46 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0809,,,,
173, NT403 BMI - The Beardwood Hospital , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , 60 , -   , 44 , -   , -   , -   , 12 , 9 , * , -   ,0809,,,,
174, NT420 BMI - The Highfield Hospital , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 55 , -   , -   , -   , -   , 9 , * , -   ,0809,,,,
175, NT714 Greater Manchester Surgical Centre , -   , 103 , * , * , * , 209 , * , 24 , 101 , 118 , 223 , 31 ," 1,476 ", * , -   , -   , -   ," 2,328 ", 11 , 182 ,0809,,,,
176, NT718 Preston Business Centre - Sharoe Green , -   , -   , -   , -   , -   , -   , 471 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0809,,,,
177, NT719 Rossendale Hospital , -   , -   , -   , -   , -   , -   , 226 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0809,,,,
178, NT720 Royal Lancaster Infirmary , -   , -   , -   , -   , -   , -   , 91 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0809,,,,
179, NT721 Cumberland Infirmary - Carlisle , -   , -   , -   , -   , -   , -   , 23 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0809,,,,
180, NT722 St Catherine's General Hospital , -   , -   , -   , -   , -   , -   , 222 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0809,,,,
181, NT723 Halton District Hospital , -   , -   , -   , -   , -   , -   , 175 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0809,,,,
182, NT725 Macclesfield Leisure Centre , -   , -   , -   , -   , -   , -   , 41 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0809,,,,
183, NTD02 The Cheshire & Merseyside NHS Treatment Centre , * , 36 , * , * , -   , 433 , -   , -   , * , * , -   , 38 ," 4,020 ", * , -   , -   , * , 43 , 209 , 41 ,0809,,,,
184, NTH04 Regency Hospital , -   , -   , -   , 95 , -   , -   , -   , * , -   , * , 9 , -   , 39 , * , -   , -   , -   , 17 , -   , -   ,0809,,,,
185, NTH05 Fylde Coast Hospital , -   , -   , -   , -   , -   , * , 40 , -   , -   , -   , -   , -   , 12 , * , -   , -   , -   , -   , -   , -   ,0809,,,,
186, NTH11 Lourdes Hospital , -   , * , * , -   , -   , * , -   , 8 , 23 , 38 , 104 , * , 10 , 81 , -   , -   , -   , 116 , -   , * ,0809,,,,
187, NVC05 Euxton Hall Hospital , -   , 7 , -   , -   , -   , * , -   , 6 , 123 , 122 , 455 , 12 ," 1,348 ", 136 , -   , -   , * , 479 , * , * ,0809,,,,
188, NVC07 Fulwood Hall Hospital , -   , * , -   , * , -   , 17 , 40 , * , 37 , 42 , 177 , 13 ," 1,029 ", 67 , -   , -   , -   , 188 , * , * ,0809,,,,
189, NVC12 Oaklands Hospital , -   , * , -   , * , -   , -   , 53 , 42 , -   , 8 , 20 , * , 129 , 37 , -   , -   , * , * , -   , 40 ,0809,,,,
190, NVC16 Renacres Hospital , -   , 35 , -   , -   , * , 17 , 21 , 40 , * , 94 , 278 , 28 , 317 , -   , -   , -   , * , 124 , 21 , * ,0809,,,,
191, NVC33 Gisburne Park NHS Treatment Centre , -   , 43 , -   , -   , -   , -   , -   , -   , 53 , -   , 108 , 20 ," 1,894 ", -   , -   , -   , -   , 224 , -   , -   ,0809,,,,
192, NVC34 Fylde Coast NHS Treatment Centre , -   , * , * , 7 , -   , 55 , -   , * , 31 , 64 , 107 , 8 , 640 , * , -   , -   , -   , 145 , 11 , * ,0809,,,,
193, NVC39 Kendal NHS Treatment Centre , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , 104 , * , 187 , -   , -   , -   , -   , 39 , -   , -   ,0809,,,,
194, NVG01 Fairfield Hospital , -   , 7 , -   , * , -   , -   , 43 , -   , -   , -   , -   , 8 , * , 16 , -   , 9 , 28 , 159 , 58 , -   ,0809,,,,
195, RBL Wirral University Teaching Hospital NHS Foundation Trust ," 1,585 "," 8,377 "," 1,403 "," 1,721 "," 1,244 "," 1,754 "," 3,354 ", 606 ," 6,151 "," 5,834 "," 11,906 "," 2,187 "," 6,783 "," 6,554 "," 9,840 "," 1,835 ", 327 ," 12,044 "," 7,305 "," 7,520 ",0809,,,,
196, RBN St Helens and Knowsley Hospitals NHS Trust ," 1,095 "," 5,428 ", 686 , 701 , 939 , 948 ," 2,501 ", 431 ," 3,569 "," 5,685 "," 10,006 "," 2,769 "," 4,066 "," 5,492 "," 7,029 ", 926 , 301 ," 14,911 "," 10,560 "," 6,429 ",0809,,,,
197, RBQ Liverpool Heart and Chest Hospital NHS Trust , 16 ," 1,115 ", 74 , 363 , * , 12 , -   , -   ," 8,024 ", 573 , 152 , 14 , 7 , -   , -   , * , 175 , 972 , 329 , 508 ,0809,,,,
198, RBS Alder Hey Children's NHS Foundation Trust ," 2,197 "," 3,088 ", 492 , 903 , 599 ," 1,058 ", 673 , 693 , 528 ," 5,736 "," 4,189 ", 856 ," 2,262 "," 1,697 ", -   , 701 ," 3,806 "," 4,353 "," 4,002 "," 2,084 ",0809,,,,
199, RBT Mid Cheshire Hospitals NHS Foundation Trust ," 1,169 "," 4,201 "," 1,512 "," 1,137 ", 464 , 860 ," 2,683 ", 352 ," 3,605 "," 3,725 "," 8,935 "," 1,183 "," 4,031 "," 3,609 "," 7,046 "," 1,174 ", 212 ," 12,056 "," 4,895 "," 4,516 ",0809,,,,
200, RBV The Christie NHS Foundation Trust , 101 ," 16,740 "," 1,775 "," 1,186 ", * , 58 , 10 , * , 92 , 267 , 473 , 178 , 96 , 253 , -   , -   , 16 , 218 , 221 ," 1,515 ",0809,,,,
201, REM Aintree University Hospitals NHS Foundation Trust , 552 ," 6,879 "," 1,728 "," 1,360 ", 733 ," 1,318 "," 3,904 ", 416 ," 6,716 "," 5,679 "," 15,709 "," 2,345 "," 5,120 "," 4,039 ", 13 , -   , 274 ," 12,950 "," 5,998 "," 3,080 ",0809,,,,
202, REN Clatterbridge Centre for Oncology NHS Foundation Trust , 132 ," 3,750 ", 563 , 33 , -   , 10 , -   , -   , 32 , 31 , 44 , * , * , 17 , -   , -   , -   , 86 , 10 , 8 ,0809,,,,
203, REP Liverpool Women's NHS Foundation Trust , 14 ," 1,248 ", 16 , 11 , -   , * , 9 , -   , 10 , * , 53 , 93 , * ," 5,273 "," 21,131 "," 3,166 ", 325 , 921 , 122 ," 7,648 ",0809,,,,
204, RET Walton Centre For Neurology and Neurosurgery NHS Trust , 16 , 477 , * , 16 , 28 ," 1,669 ", 50 , * , 466 , * , * , * ," 1,419 ", * , * , -   , 127 , 524 , 317 , 66 ,0809,,,,
205, RJN East Cheshire NHS Trust , 698 ," 2,339 ", 428 , 356 , 321 , 692 ," 1,627 ", 181 ," 2,398 "," 2,490 "," 6,191 ", 585 ," 2,771 "," 2,222 "," 3,056 ", 937 , 148 ," 5,058 "," 2,979 "," 2,445 ",0809,,,,
206, RJR Countess of Chester Hospital NHS Foundation Trust , 658 ," 5,452 "," 1,285 ", 880 , 250 , 827 ," 2,082 ", 604 ," 3,823 "," 3,313 "," 7,649 "," 1,519 "," 3,511 "," 4,999 "," 8,662 "," 1,302 ", 359 ," 13,582 "," 5,572 "," 6,920 ",0809,,,,
207, RJX Calderstones Partnership NHS Foundation Trust , -   , -   , -   , -   , 139 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 50 , -   , -   ,0809,,,,
208, RM2 University Hospital of South Manchester NHS Foundation Trust , 845 ," 7,829 ", 815 , 842 , 315 ," 1,332 ", 68 , 441 ," 9,173 "," 4,929 "," 9,219 "," 2,052 "," 6,310 "," 5,817 "," 4,996 "," 1,161 "," 1,019 "," 9,912 "," 6,776 "," 5,058 ",0809,,,,
209, RM3 Salford Royal NHS Foundation Trust , 469 ," 4,735 "," 1,596 "," 1,711 ", 536 ," 3,311 ", 59 , 297 ," 5,202 "," 2,883 "," 9,131 "," 1,398 "," 8,729 "," 4,312 "," 9,786 "," 1,543 ", 315 ," 9,037 "," 5,051 "," 6,664 ",0809,,,,
210, RM4 Trafford Healthcare NHS Trust , 339 ," 2,345 "," 1,027 ", 739 , 118 , 523 , 18 , 215 ," 1,232 "," 1,745 "," 3,907 ", 603 ," 3,078 "," 1,869 "," 2,360 ", 535 , 108 ," 4,083 "," 1,638 "," 2,125 ",0809,,,,
211, RMC Royal Bolton Hospital NHS Foundation Trust ," 1,704 "," 3,522 ", 920 , 596 , 284 ," 1,055 "," 4,298 ", 606 ," 4,486 "," 5,518 "," 9,737 "," 1,407 "," 2,844 "," 4,100 "," 9,704 ", 817 , 284 ," 12,441 "," 4,369 "," 7,410 ",0809,,,,
212, RMP Tameside Hospital NHS Foundation Trust , 773 ," 2,684 ", 842 , 536 , 396 , 854 , 41 , 389 ," 4,250 "," 4,594 "," 7,055 "," 1,100 "," 3,502 "," 3,422 "," 6,014 ", 903 , 199 ," 6,504 "," 3,529 "," 3,296 ",0809,,,,
213, RNL North Cumbria University Hospitals NHS Trust ," 1,228 "," 7,588 "," 1,350 ", 895 , 553 ," 1,763 "," 2,595 ", 601 ," 10,515 "," 4,663 "," 11,332 "," 1,656 "," 6,165 "," 10,283 "," 8,115 ", 619 , 216 ," 9,630 "," 5,186 "," 5,291 ",0809,,,,
214, RNN Cumbria Partnership NHS Foundation Trust , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 827 , -   , * ,0809,,,,
215, RQ6 Royal Liverpool and Broadgreen University Hospitals NHS Trust , 588 ," 5,243 "," 1,015 "," 1,317 ", 678 ," 1,170 "," 6,198 ", 398 ," 6,226 "," 4,986 "," 15,188 "," 2,634 "," 8,538 "," 4,597 ", 19 , -   , 256 ," 12,031 "," 8,042 "," 1,985 ",0809,,,,
216," RRF Wrightington, Wigan and Leigh NHS Foundation Trust ", 884 ," 7,005 "," 1,660 "," 1,779 ", 619 ," 1,379 "," 3,384 ", 487 ," 4,831 "," 4,217 "," 10,624 "," 1,834 "," 11,544 "," 3,591 "," 7,228 "," 1,057 ", 349 ," 9,015 "," 6,051 "," 4,637 ",0809,,,,
217, RT2 Pennine Care NHS Foundation Trust , -   , -   , -   , -   ," 2,437 ", 127 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 115 , 10 , 142 ,0809,,,,
218, RTV 5 Boroughs Partnership NHS Trust , * , -   , -   , * ," 2,433 ", 139 , -   , -   , * , -   , * , -   , -   , -   , -   , -   , -   , 80 , * , 74 ,0809,,,,
219, RTX University Hospitals of Morecambe Bay NHS Trust ," 1,419 "," 10,083 "," 1,014 ", 840 , 480 ," 1,669 "," 3,641 ", 674 ," 6,520 "," 6,430 "," 11,067 "," 3,134 "," 7,074 "," 5,884 "," 5,449 ", 931 , 603 ," 10,722 "," 6,226 "," 6,006 ",0809,,,,
220, RVY Southport and Ormskirk Hospital NHS Trust , 776 ," 4,864 "," 2,041 "," 1,128 ", 477 , 820 ," 3,303 ", 311 ," 3,811 "," 3,858 "," 7,408 "," 1,102 "," 5,118 "," 3,342 "," 4,732 ", 982 , 158 ," 6,259 "," 3,721 "," 4,099 ",0809,,,,
221, RW3-X Central Manchester University Hospitals NHS Foundation Trust ," 1,526 "," 9,394 "," 2,887 "," 4,371 ", 619 ," 1,822 "," 10,738 "," 1,679 "," 8,225 "," 7,123 "," 16,672 "," 2,085 "," 5,680 "," 7,304 "," 9,054 "," 2,422 "," 3,801 "," 17,478 "," 9,180 "," 10,112 ",0809,,,,
222, RW4 Mersey Care NHS Trust , -   , -   , -   , -   ," 2,770 ", 107 , -   , -   , -   , * , -   , -   , -   , * , -   , -   , -   , * , 20 , 411 ,0809,,,,
223, RW5 Lancashire Care NHS Foundation Trust , -   , * , -   , -   ," 3,435 ", 299 , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , 94 , * , 244 ,0809,,,,
224, RW6 Pennine Acute Hospitals NHS Trust ," 4,291 "," 13,942 "," 3,592 "," 3,288 "," 1,083 "," 3,015 "," 7,473 "," 1,212 "," 14,357 "," 13,365 "," 28,767 "," 5,010 "," 20,145 "," 13,694 "," 21,734 "," 3,599 ", 930 ," 23,466 "," 12,147 "," 15,463 ",0809,,,,
