 SHA/Provider ,Certain infectious and parasitic diseases (A00-B99),Neoplasms (C00-D48),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Endocrine, nutritional and metabolic diseases (E00-E90)",Mental and behavioural disorders (F00-F99),Diseases of the nervous system (G00-G99),Diseases of the eye and adnexa (H00-H59),Diseases of the ear and mastoid process (H60-H95),Diseases of the circulatory system (I00-I99),Diseases of the respiratory system (J00-J99),Diseases of the digestive system (K00-K93),Diseases of the skin and subcutaneous tissue (L00-L99),Diseases of the musculoskeletal system and connective tissue (M00-M99),Diseases of the genitourinary system (N00-N99),"Pregnancy, childbirth and the puerperium (O00-O99)",Certain conditions originating in the perinatal period (P00-P96),"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Injury, poisoning and certain other consequences of external causes (S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC1 BEDFORD HOSPITAL NHS TRUST,439,"3,119",606,535,170,771,"2,538",265,"3,356","2,213","7,435","1,259","2,593","3,228","4,781",686,533,"4,167","2,700","3,989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC9 LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,"1,356","6,606","1,314","1,087",231,"1,158","2,500",585,"2,892","5,368","10,141","1,027","4,385","3,836","10,182","1,188",343,"8,441","3,929","9,414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCX THE QUEEN ELIZABETH HOSPITAL KING'S LYNN NHS TRUST,814,"8,982","2,200","1,016",208,832,"3,374",316,"3,511","3,149","8,578","1,297","4,719","4,594","5,848",785,237,"7,005","3,641","4,685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDD BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,537,"5,323","1,056","1,035",269,"1,143",78,395,"8,270","4,023","8,742","1,116","6,244","4,905","8,220","1,153",310,"7,947","3,771","8,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDE COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,871,"6,709","1,097",736,294,"1,459","2,822",546,"4,960","4,133","10,481","1,617","5,597","4,582","8,352",572,265,"9,349","4,393","6,255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGM PAPWORTH HOSPITAL NHS FOUNDATION TRUST,48,528,267,"1,082",48,"4,827",0,0,"10,167","3,061",11,*,73,*,*,0,240,"1,041",327,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGN PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,"1,211","7,098","1,337",790,241,"1,350","2,291",465,"5,151","4,383","10,507","1,745","7,332","5,072","8,060",771,381,"8,838","5,900","7,457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGP JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,736,"7,073",935,752,281,953,"4,096",402,"2,970","2,961","6,480","1,714","3,607","4,161","3,796",466,190,"5,522","3,208","3,942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGQ IPSWICH HOSPITAL NHS TRUST,897,"13,301","1,552","1,651",330,"2,093","2,696",534,"5,952","3,969","10,531","1,178","6,224","5,125","4,231",367,279,"7,831","4,320","3,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR WEST SUFFOLK HOSPITALS NHS TRUST,855,"7,458",908,799,210,"1,002","3,329",481,"3,191","3,420","4,675","1,837","4,548","3,867","4,891",764,246,"5,910","3,780","3,067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGT CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"1,634","26,597","2,680","2,314",460,"3,708","5,055",995,"6,328","5,362","16,252","2,762","8,673","6,308","9,205","1,543","2,033","10,090","9,644","7,391",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM1 NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"1,484","25,483","2,653","2,059",511,"2,910","9,483",804,"10,072","6,926","15,125","3,729","10,725","8,132","13,225","1,195","1,021","13,494","9,320","12,551",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMY NORFOLK AND WAVENEY MENTAL HEALTH NHS FOUNDATION TRUST,0,*,0,0,"1,505",129,0,0,0,0,0,0,0,0,0,0,0,459,*,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ8 MID ESSEX HOSPITAL SERVICES NHS TRUST,600,"13,605","1,657",657,430,"2,137","2,946",600,"5,248","3,762","8,084","3,333","7,410","4,894","9,949","1,602","1,446","8,831","10,552","10,557",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQQ-X HINCHINGBROOKE HEALTH CARE NHS TRUST,394,"5,384",584,622,134,591,"2,711",242,"1,887","1,586","4,485",749,"2,882","1,691","3,462",514,106,"3,316","1,785","3,055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQW THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,409,"7,572","1,193",955,239,934,"2,126",314,"3,695","2,969","8,174","1,069","5,785","4,904","5,198","1,010",358,"7,484","3,532","4,961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD NORTH ESSEX PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,"1,373",*,0,0,0,0,0,0,0,0,0,0,0,637,0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT1 CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,0,0,0,*,931,46,0,0,*,0,*,0,0,0,0,0,0,466,*,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT6 SUFFOLK MENTAL HEALTH PARTNERSHIP NHS TRUST,0,0,0,0,"1,641",20,0,0,0,0,0,0,0,0,0,0,46,*,0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV7 BEDFORDSHIRE AND LUTON MENTAL HEALTH AND SOCIAL CARE PARTNERSHIP NHS TRUST,0,0,0,0,"1,146",7,0,0,0,0,0,0,0,0,0,0,*,57,0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWG WEST HERTFORDSHIRE HOSPITALS NHS TRUST,660,"6,081","1,874","1,135",290,"1,109","2,166",386,"5,470","3,828","11,479","1,279","6,729","5,356","11,343",925,235,"8,824","4,151","9,593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWH EAST AND NORTH HERTFORDSHIRE NHS TRUST,944,"13,515",762,"1,182",312,"1,424","3,320",566,"5,333","5,430","11,645","2,430","7,284","6,816","7,718","1,160",321,"11,691","5,981","12,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWN SOUTH ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,950,33,0,0,0,*,*,0,*,*,0,0,*,"1,079",*,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWR HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,801,0,0,0,0,0,0,0,0,0,0,0,0,978,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q36 LONDON STRATEGIC HEALTH AUTHORITY,"27,531","201,213","43,824","36,099","33,621","56,470","78,858","10,729","144,275","108,191","260,142","44,710","140,772","157,983","253,257","32,489","25,894","234,309","133,074","215,534",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A4 HAVERING PCT,8,30,*,10,*,19,*,0,135,91,28,19,52,76,0,0,0,149,150,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A5 KINGSTON PCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5AT HILLINGDON PCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5C1 ENFIELD PCT,0,*,0,0,*,7,0,0,15,*,0,14,6,10,0,0,0,42,*,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5C4 TOWER HAMLETS PCT,7,14,*,*,14,31,0,*,134,29,26,41,73,108,625,*,0,399,110,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5C5 NEWHAM PCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5C9 HARINGEY TEACHING PCT,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5K5 BRENT TEACHING PCT,*,*,0,0,0,*,0,0,10,0,*,0,*,*,0,0,0,105,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5K7 CAMDEN PCT,*,9,7,*,11,22,0,0,74,15,6,10,19,*,0,0,*,175,75,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5LA KENSINGTON AND CHELSEA PCT,0,121,0,0,*,*,0,0,6,10,*,0,0,*,0,0,0,104,0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5LG WANDSWORTH PCT,*,9,13,23,7,35,0,*,83,30,18,16,28,22,0,0,0,54,155,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M6 RICHMOND AND TWICKENHAM PCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M7 SUTTON AND MERTON PCT,14,33,36,*,*,0,0,0,33,*,831,*,0,0,0,0,0,103,*,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT314 SPIRE RODING HOSPITAL,*,7,0,0,0,0,0,12,0,20,22,*,99,58,0,0,*,10,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT405 BMI - BISHOPS WOOD,0,*,0,0,0,0,0,0,0,0,8,*,18,*,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT406 BMI - THE BLACKHEATH HOSPITAL,0,*,*,0,0,*,0,0,0,0,30,0,49,*,0,0,0,9,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT409 BMI - CHELSFIELD PARK HOSPITAL,0,0,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT411 BMI - THE CLEMENTINE CHURCHILL HOSPITAL,0,*,0,0,0,7,0,0,*,54,38,6,145,115,*,0,*,41,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT416 BMI - THE GARDEN HOSPITAL,0,*,*,0,0,*,11,0,0,0,23,*,24,9,0,0,0,*,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT421 BMI - THE KINGS OAK HOSPITAL,0,*,*,0,0,*,0,0,*,0,44,9,69,15,0,0,0,30,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT422 BMI - THE LONDON INDEPENDENT HOSPITAL,0,*,0,0,0,0,0,0,*,0,23,0,34,37,*,0,0,*,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT436 BMI - SHIRLEY OAKS HOSPITAL,0,*,*,0,0,15,103,*,*,0,69,*,92,18,0,0,0,36,0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT437 BMI - THE SLOANE HOSPITAL,*,*,0,0,*,*,*,10,0,*,*,*,15,0,0,0,*,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTP15 NORTH EAST LONDON NHS TREATMENT CENTRE,0,8,*,*,0,78,434,0,51,0,230,65,416,*,0,0,*,41,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAL ROYAL FREE HAMPSTEAD NHS TRUST,"1,399","7,139","1,432","1,499",329,"2,590","4,942","1,555","7,900","5,729","7,691","3,780","4,718","7,212","5,086",355,967,"9,826","7,042","6,337",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAN ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,8,"1,105",12,10,0,736,0,0,*,0,*,58,"6,858",189,*,80,408,110,"1,604",180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAP NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,792,"6,518","2,000",834,303,683,"2,026",30,"2,388","1,793","4,628",886,"2,413","2,691","4,631",834,107,"4,473","2,244","3,659",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAS THE HILLINGDON HOSPITAL NHS TRUST,618,"3,034","1,193",794,616,"1,224","1,523",61,"2,741","2,471","6,639",841,"5,617","3,574","6,298","1,206",348,"8,080","3,780","4,477",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT NORTH EAST LONDON NHS FOUNDATION TRUST,*,0,0,0,"2,044",117,0,0,0,0,0,0,0,0,0,0,0,*,0,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAX KINGSTON HOSPITAL NHS TRUST,776,"3,681",791,691,336,802,"4,109",277,"3,737","3,383","6,771","1,450","3,893","3,998","12,740","1,275",188,"3,635","3,084","9,939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC3 EALING HOSPITAL NHS TRUST,711,"3,350",918,732,524,559,61,129,"2,856","2,754","5,686","1,270","1,883","3,777","5,228",993,202,"5,244","3,118","3,486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
