,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table E: Finished admission episodes by primary diagnosis chapter for England, SHA and individual provider (2010-11)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The NHS Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2010-11. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please see HESonline [http://www.hesonline.nhs.uk] for more information on data quality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, SHA/Provider ,Certain infectious and parasitic diseases (A00-B99),Neoplasms (C00-D48),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Endocrine, nutritional and metabolic diseases (E00-E90)",Mental and behavioural disorders (F00-F99),Diseases of the nervous system (G00-G99),Diseases of the eye and adnexa (H00-H59),Diseases of the ear and mastoid process (H60-H95),Diseases of the circulatory system (I00-I99),Diseases of the respiratory system (J00-J99),Diseases of the digestive system (K00-K93),Diseases of the skin and subcutaneous tissue (L00-L99),Diseases of the musculoskeletal system and connective tissue (M00-M99),Diseases of the genitourinary system (N00-N99),"Pregnancy, childbirth and the puerperium (O00-O99)",Certain conditions originating in the perinatal period (P00-P96),"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Injury, poisoning and certain other consequences of external causes (S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHM, RHM Southampton University Hospitals NHS Trust ," 2,445 "," 17,333 "," 3,144 "," 2,047 ", 884 ," 3,708 "," 4,006 ", 696 ," 8,922 "," 8,689 "," 11,441 "," 1,854 "," 7,992 "," 7,174 "," 9,680 "," 1,311 "," 2,496 "," 13,197 "," 9,969 "," 11,444 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHU, RHU Portsmouth Hospitals NHS Trust ," 2,085 "," 8,953 "," 1,738 "," 1,734 ", 577 ," 2,385 "," 6,655 "," 1,124 "," 7,833 "," 9,049 "," 16,197 "," 2,435 "," 10,912 "," 8,308 "," 10,635 "," 1,883 ", 625 ," 14,671 "," 10,829 "," 8,947 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHW, RHW Royal Berkshire NHS Foundation Trust ," 1,698 "," 6,981 "," 1,634 "," 1,033 ", 367 ," 1,618 "," 7,369 ", 563 ," 5,625 "," 5,288 "," 9,482 "," 1,282 "," 8,376 "," 6,265 "," 11,159 "," 2,061 ", 569 ," 9,552 "," 5,251 "," 8,631 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHX, RHX Oxfordshire Learning Disability NHS Trust , -   , -   , -   , -   , 25 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN1-X, RN1-X Winchester and Eastleigh Healthcare NHS Trust , 510 ," 3,428 ", 781 , 539 , 92 , 716 ," 1,412 ", 238 ," 1,902 "," 2,231 "," 6,247 ", 798 ," 3,185 "," 3,423 "," 4,502 "," 1,425 ", 78 ," 4,901 "," 2,781 "," 3,587 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN5T1, RN5T1 North Hampshire Hospitals NHS Trust Treatment Centre , * ," 1,211 ", 183 , 21 , 22 , 273 , 35 , 206 , 405 , 299 ," 3,556 ", 244 ," 1,431 "," 1,656 ", * , -   , 34 ," 1,244 ", 56 , 986 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN5-X, RN5-X Basingstoke and North Hampshire NHS Foundation Trust , 808 ," 1,634 ", 146 , 831 , 634 , 622 ," 2,586 ", 105 ," 2,970 "," 2,765 "," 2,669 ", 626 ," 3,222 "," 2,040 "," 4,348 "," 1,040 ", 178 ," 4,772 "," 3,804 "," 2,876 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNU, RNU Oxford Health NHS Foundation Trust , -   , -   , -   , -   , 996 , 26 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 768 , -   , 36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTH, RTH Oxford Radcliffe Hospitals NHS Trust ," 1,850 "," 27,076 "," 2,317 "," 3,001 ", 554 ," 4,496 "," 5,307 "," 1,010 "," 12,188 "," 7,639 "," 18,939 "," 2,661 "," 4,210 "," 10,589 "," 14,522 "," 2,756 "," 2,550 "," 15,971 "," 12,971 "," 15,400 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW1, RW1 Hampshire Partnership NHS Foundation Trust , -   , * , -   , * ," 2,697 ", 176 , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 340 , * , 225 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWX, RWX Berkshire Healthcare NHS Foundation Trust , -   , -   , -   , * ," 1,644 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , * , 19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXQ, RXQ Buckinghamshire Healthcare NHS Trust ," 1,393 "," 12,058 "," 1,238 "," 1,356 ", 177 ," 1,602 "," 4,991 ", 410 ," 5,259 "," 3,866 "," 9,144 "," 1,890 "," 6,815 "," 5,582 "," 9,371 "," 1,810 ", 523 ," 7,557 "," 5,852 "," 9,891 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q37, Q37 SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY ," 12,602 "," 99,863 "," 16,997 "," 12,720 "," 13,012 "," 21,423 "," 44,791 "," 6,500 "," 68,895 "," 58,642 "," 130,259 "," 20,921 "," 100,032 "," 73,171 "," 84,280 "," 15,434 "," 5,174 "," 128,567 "," 80,148 "," 85,499 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5L3, 5L3 Medway PCT , -   , 347 , -   , -   , -   , 15 , -   , -   , 9 , 8 , * , -   , * , -   , -   , -   , -   , 476 , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5P5, 5P5 Surrey PCT , 7 , 72 , 15 , 20 , 15 , 61 , * , * , 184 , 67 , 237 , 38 , 88 , 86 , -   , -   , * , 570 , 377 , 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5P6, 5P6 West Sussex PCT , * , 12 , -   , * , * , 28 , -   , -   , 26 , 11 , 70 , 10 , 153 , 15 , -   , -   , * , 501 , 6 , 985 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5P7, 5P7 East Sussex Downs and Weald PCT , * , 69 , 6 , 8 , * , 52 , * , -   , 99 , 93 , 45 , 40 , 82 , 79 , -   , -   , -   , 295 , 209 , 125 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5P8, 5P8 Hastings and Rother PCT , * , 52 , * , 9 , * , 29 , -   , -   , 108 , 23 , 15 , 16 , 61 , 42 , -   , -   , -   , 67 , 132 , 9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QA, 5QA Eastern and Coastal Kent PCT , * , 47 , * , 7 , 11 , 14 , -   , -   , 73 , 31 , 20 , 12 , 29 , 20 , -   , -   , -   , 69 , 130 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT212," NT212 Nuffield Health, Chichester Hospital ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT239," NT239 Nuffield Health, Tunbridge Wells Hospital ", -   , -   , -   , -   , -   , -   , 33 , -   , -   , * , * , * , 18 , -   , -   , -   , -   , * , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT241," NT241 Nuffield Health, Woking Hospital ", -   , * , -   , -   , -   , * , 50 , -   , -   , -   , 14 , -   , 93 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT308, NT308 Spire Gatwick Park Hospital , * , 18 , 11 , * , -   , 17 , * , -   , 79 , 29 , 560 , 12 , 560 , 118 , -   , -   , * , 84 , 14 , 35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT309, NT309 Spire Sussex Hospital , * , 16 , -   , -   , -   , 32 , -   , -   , -   , -   , 36 , 10 , 209 , 83 , -   , -   , -   , * , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT310, NT310 Spire Tunbridge Wells Hospital , * , 37 , * , -   , -   , * , 135 , * , 42 , 93 , 209 , 25 , -   , 180 , -   , -   , -   , 38 , * , 67 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT312, NT312 Spire Alexandra Hospital , -   , 43 , -   , * , -   , 12 , * , -   , 16 , -   , 123 , 26 , 411 , 184 , -   , -   , * , 17 , 21 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT346, NT346 Spire St Saviours Hospital , * , 23 , -   , -   , -   , 6 , * , -   , * , -   , 123 , 10 , 320 , 155 , -   , -   , * , 24 , * , 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT408, NT408 BMI - The Chaucer Hospital , -   , 11 , -   , * , -   , 11 , 27 , * , * , * , 61 , 8 , 79 , 130 , -   , -   , * , 46 , * , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT413, NT413 BMI - The Esperance Hospital , -   , 136 , * , * , -   , 30 , * , * , 11 , * , 108 , 34 , 57 , 28 , -   , -   , -   , 10 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT414, NT414 BMI - Fawkham Manor Hospital , * , 12 , -   , * , * , 31 , 36 , 8 , 34 , 24 , 145 , 7 , 336 , 93 , -   , -   , * , 32 , * , 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT417, NT417 BMI - Goring Hall Hospital , -   , 18 , 15 , * , -   , 62 , 16 , -   , * , * , 206 , 9 , 477 , 192 , -   , -   , * , 88 , 7 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT431, NT431 BMI - The Runnymede Hospital , * , 24 , -   , -   , * , 9 , 21 , 16 , 46 , 21 , 147 , 69 , 297 , 43 , -   , -   , * , 56 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT438, NT438 BMI - The Somerfield Hospital , * , 35 , * , -   , -   , 30 , 76 , * , 13 , 33 , 160 , 35 , 545 , 114 , -   , -   , * , 52 , * , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT455, NT455 BMI Mount Alvernia Hospital , -   , 15 , * , -   , * , 23 , -   , 6 , -   , 6 , 81 , 30 , 156 , 11 , -   , -   , -   , 12 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTP14, NTP14 Mid Kent NHS Treatment Centre , 25 , 395 , 193 , * , * , 47 , 406 , -   , 273 , 7 ," 2,705 ", 152 , 558 ," 1,018 ", * , -   , * , 717 , 14 , 756 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTP16, NTP16 Will Adams NHS Treatment Centre , * , 162 , 12 , -   , -   , 49 ," 1,139 ", -   , 248 , -   , 944 , 174 , 272 , 53 , -   , -   , * , 43 , * , 574 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTP17, NTP17 Sussex Orthopaedic NHS Treatment Centre , -   , 68 , -   , * , -   , 619 , -   , -   , * , -   , -   , 35 ," 4,817 ", -   , -   , -   , 17 , 15 , 192 , 235 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTYF1, NTYF1 The Spencer Wing , * , 96 , 11 , 17 , * , 22 ," 2,513 ", 29 , 16 , 118 , 291 , 39 ," 1,391 ", 258 , * , -   , 9 , 925 , 63 , 28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC01, NVC01 Ashtead Hospital , * , 49 , 17 , 10 , -   , 53 , 72 , * , 74 , 6 , 613 , 10 , 943 , 138 , -   , -   , 6 , 116 , 31 , 51 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC11, NVC11 North Downs Hospital , * , 82 , 7 , * , -   , 82 , * , * , 86 , * , 423 , 29 , 759 , 266 , -   , -   , * , 63 , 20 , 66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWF01, NWF01 Benenden Hospital , * , 33 , * , * , -   , 31 , 378 , 11 , 27 , 14 , 123 , 14 , 347 , 206 , -   , -   , 50 , 461 , 14 , 63 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NXM01, NXM01 The Horder Centre - St Johns Road , -   , 9 , -   , -   , -   , 171 , -   , -   , -   , -   , -   , 20 ," 4,036 ", -   , -   , -   , 28 , 6 , 244 , 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA2, RA2 Royal Surrey County Hospital NHS Foundation Trust , 649 ," 11,638 "," 1,653 ", 581 , 121 , 978 ," 2,111 ", 427 ," 2,800 "," 2,943 "," 11,624 "," 1,452 "," 4,942 "," 4,410 "," 4,990 "," 1,208 ", 381 ," 8,107 "," 4,330 "," 5,116 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDR, RDR Sussex Community NHS Trust , * , 11 , -   , * , * , 21 , * , -   , 19 , 13 , 30 , 15 , 17 , 16 , -   , -   , -   ," 1,294 ", 18 , 996 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDU, RDU Frimley Park Hospital NHS Foundation Trust , 862 ," 5,142 ", 872 , 738 , 438 ," 1,256 "," 3,352 ", 490 ," 5,474 "," 4,206 "," 10,048 "," 2,166 "," 11,313 "," 6,352 "," 6,869 "," 1,149 ", 534 ," 10,071 "," 5,468 "," 6,635 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN7-X, RN7-X Dartford and Gravesham NHS Trust , 908 ," 5,184 ", 746 , 818 , 388 ," 1,157 ", 78 , 73 ," 3,467 "," 3,187 "," 7,517 ", 917 ," 3,944 "," 5,428 "," 5,667 ", 993 , 132 ," 5,050 "," 3,693 "," 5,336 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPA, RPA Medway NHS Foundation Trust ," 1,261 "," 4,498 ", 828 , 882 , 952 , 920 , 77 , 962 ," 4,383 "," 5,812 "," 7,915 "," 1,406 "," 5,455 "," 6,119 "," 6,575 "," 1,156 ", 455 ," 7,793 "," 5,956 "," 6,226 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPC, RPC Queen Victoria Hospital NHS Foundation Trust , 56 ," 2,699 ", * , 29 , 14 ," 1,844 "," 2,175 ", 16 , 29 , 74 ," 2,776 "," 1,165 ", 914 , 336 , * , -   , 451 , 105 ," 4,733 ", 688 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTK, RTK Ashford and St Peter's Hospitals NHS Foundation Trust ," 1,011 "," 5,409 "," 1,357 "," 1,031 ", 382 ," 1,143 "," 3,636 ", 242 ," 4,991 "," 3,820 "," 9,576 "," 1,220 "," 5,615 "," 5,570 "," 8,034 "," 1,001 ", 205 ," 7,110 "," 4,624 "," 12,186 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTP, RTP Surrey and Sussex Healthcare NHS Trust ," 1,328 "," 3,339 "," 1,357 ", 627 , 308 , 949 ," 3,035 ", 715 ," 4,407 "," 5,034 "," 8,124 "," 1,238 "," 3,816 "," 4,504 "," 6,511 "," 1,568 ", 332 ," 10,100 "," 5,163 "," 6,432 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVV, RVV East Kent Hospitals University NHS Foundation Trust ," 1,784 "," 19,643 "," 2,150 "," 2,111 "," 1,124 "," 3,467 "," 6,943 "," 1,185 "," 11,492 "," 9,661 "," 12,291 "," 3,614 "," 16,390 "," 11,495 "," 11,254 "," 1,386 ", 697 ," 19,056 "," 10,561 "," 9,939 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWF, RWF Maidstone and Tunbridge Wells NHS Trust , 910 ," 5,451 ", 852 , 908 , 354 ," 1,138 "," 5,041 ", 539 ," 5,057 "," 5,720 "," 9,553 ", 991 ," 5,750 "," 4,929 "," 10,650 "," 1,414 ", 382 ," 10,384 "," 8,168 "," 7,059 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX2, RX2 Sussex Partnership NHS Foundation Trust , -   , -   , -   , -   ," 3,224 ", 128 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 482 , -   , 326 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXC, RXC East Sussex Hospitals NHS Trust ," 1,278 "," 13,558 "," 2,054 "," 1,292 ", 435 ," 2,147 "," 4,297 ", 607 ," 7,901 "," 6,079 "," 13,712 "," 2,091 "," 8,347 "," 5,140 "," 6,140 "," 2,297 ", 378 ," 11,046 "," 7,297 "," 4,595 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXH, RXH Brighton and Sussex University Hospitals NHS Trust ," 1,010 "," 8,553 "," 1,874 "," 1,951 "," 1,086 "," 2,215 "," 5,348 ", 733 ," 9,089 "," 5,768 "," 14,002 "," 1,731 "," 7,366 "," 7,290 "," 8,217 "," 1,515 ", 810 ," 14,634 "," 9,469 "," 8,239 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXX, RXX Surrey and Borders Partnership NHS Foundation Trust , -   , -   , -   , -   , 488 , 12 , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , * ," 1,998 ", -   , 46 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXY, RXY Kent and Medway NHS and Social Care Partnership Trust , * , * , -   , -   ," 3,005 ", 177 , -   , -   , 20 , -   , -   , * , * , -   , -   , -   , * , 20 , 12 , 44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYR-X, RYR-X Western Sussex Hospitals NHS Trust ," 1,470 "," 12,855 "," 2,951 "," 1,652 ", 650 ," 2,333 "," 3,780 ", 430 ," 8,294 "," 5,730 "," 15,630 "," 2,050 "," 9,057 "," 8,070 "," 9,370 "," 1,747 ", 272 ," 16,531 "," 9,148 "," 8,552 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q39, Q39 SOUTH WEST STRATEGIC HEALTH AUTHORITY ," 16,922 "," 220,906 "," 25,463 "," 22,255 "," 14,074 "," 30,290 "," 65,270 "," 9,248 "," 103,230 "," 73,542 "," 174,393 "," 30,912 "," 122,440 "," 87,282 "," 131,082 "," 25,742 "," 9,371 "," 166,022 "," 113,781 "," 120,759 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A3, 5A3 South Gloucestershire PCT , * , 13 , 6 , * , * , * , -   , * , 16 , 11 , * , * , 17 , 22 , -   , -   , -   , 20 , 23 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5F1, 5F1 Plymouth Teaching PCT , 11 , 21 , * , 23 , 126 , 113 , -   , * , 281 , 44 , 35 , 7 , 74 , 21 , * , -   , -   , 749 , 248 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5FL, 5FL Bath and North East Somerset PCT , * , 26 , 7 , 6 , * , 24 , * , -   , 151 , 66 , 26 , 16 , 48 , 63 , -   , -   , -   , 60 , 259 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5K3, 5K3 Swindon PCT , 11 , 30 , -   , 17 , 305 , 21 , * , -   , 208 , 113 , 40 , 40 , 62 , 76 , -   , -   , -   , 72 , 219 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M8, 5M8 North Somerset PCT , * , 31 , 30 , * , * , * , -   , -   , 40 , 44 , 224 , 11 , 11 , 11 , -   , -   , -   , 68 , 53 , 15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QH, 5QH Gloucestershire PCT , 40 , 523 , 192 , 61 , 72 , 162 , * , * , 694 , 557 , 594 , 216 , 472 , 413 ," 1,398 ", 35 , * , 882 , 924 ," 2,631 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QK, 5QK Wiltshire PCT , 14 , 89 , 28 , 37 , 6 , 41 , * , * , 250 , 101 , 38 , 40 , 113 , 129 ," 5,461 "," 2,556 ", * , 128 , 389 ," 4,292 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QL, 5QL Somerset PCT , 42 , 451 , 195 , 142 , 42 , 133 , * , * , 595 , 408 , 224 , 288 , 702 , 439 , -   , -   , * , 618 ," 1,132 ", 58 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QM, 5QM Dorset PCT , 50 , 509 , 135 , 72 , 801 , 285 , * , * , 425 , 233 ," 2,116 ", 202 , 975 , 461 , -   , -   , 7 ," 1,095 ", 646 , 447 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QN, 5QN Bournemouth and Poole Teaching PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 267 , -   , 173 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QP, 5QP Cornwall and Isles of Scilly PCT , 32 , 416 , 110 , 86 , 223 , 117 , * , * , 751 , 389 , 184 , 161 , 259 , 272 , * , -   , * , 416 , 863 , 30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
