"Table E: Finished admission episodes by primary diagnosis chapter for England, Area Team and individual provider (2013-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Health and Social Care Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2013-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Area Team/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,Factors influencing health status and contact with health services (Z00-Z99),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM, Aintree University Hospital NHS Foundation Trust ," 1,197 "," 8,656 "," 1,782 "," 1,679 ", 485 ," 1,525 "," 3,538 ", 305 ," 5,121 "," 5,182 "," 14,559 "," 1,997 "," 5,909 "," 4,011 ", 18 , -   , 146 ," 10,574 "," 4,766 ", -   ," 3,416 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCF, Airedale NHS Foundation Trust ," 1,626 "," 8,500 "," 1,246 "," 1,004 ", 216 , 791 ," 1,242 ", 178 ," 3,328 "," 3,265 "," 7,330 ", 799 ," 2,742 "," 4,500 "," 7,447 ", 601 , 144 ," 5,265 "," 2,820 ", -   ," 5,986 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS, Alder Hey Children's NHS Foundation Trust ," 1,071 "," 3,722 ", 485 ," 1,085 ", * ," 1,091 ", 600 , 531 , 282 ," 2,746 "," 4,010 ", 717 ," 2,572 "," 2,060 ", * , 566 ," 4,283 "," 2,836 "," 2,971 ", -   ," 1,755 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTK, Ashford and St Peter's Hospitals NHS Foundation Trust ," 1,698 "," 6,412 "," 1,461 "," 1,175 ", 336 ," 1,169 "," 4,008 ", 350 ," 5,547 "," 3,874 "," 10,725 "," 1,333 "," 6,568 "," 4,748 "," 8,582 "," 1,662 ", 183 ," 6,431 "," 3,917 ", -   ," 6,120 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED30, Ashtead Hospital , * , * , 12 , -   , -   , 15 , -   , -   , * , -   , 59 , * , 279 , -   , -   , -   , -   , 28 , * , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC01, Ashtead Hospital , 42 , 68 , 32 , * , -   , 86 , 120 , -   , 133 , 33 , 769 , 16 ," 1,285 ", 176 , -   , -   , * , 188 , 20 , -   , 59 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYW04, Aspen - Claremont Hospital , * , 23 , -   , * , -   , 91 , 42 , 9 , 71 , 21 , 540 , 28 ," 2,098 ", 159 , -   , -   , * , * , 29 , -   , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYW03, Aspen - Highgate Hospital , -   , 16 , -   , * , -   , * , -   , -   , * , 8 , 12 , 19 , 103 , 34 , -   , -   , * , * , 8 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYW01, Aspen - Holly House Hospital , -   , 61 , -   , * , * , 28 , -   , 15 , * , 56 , 122 , 33 , 707 , 273 , -   , -   , * , 56 , 26 , -   , 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYW02, Aspen - Parkside Hospital , -   , -   , -   , -   , -   , -   , -   , * , -   , 12 , * , * , 56 , -   , -   , -   , -   , -   , * , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYW17, Aspen Healthcare - Midland Eye , -   , -   , -   , -   , -   , -   , 117 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVN, Avon and Wiltshire Mental Health Partnership NHS Trust , -   , -   , -   , -   , 49 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,468 ", -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF4," Barking, Havering and Redbridge University Hospitals NHS Trust "," 3,139 "," 8,451 "," 1,589 "," 1,707 ", 830 ," 2,791 "," 4,061 ", 878 ," 7,070 "," 8,956 "," 16,466 "," 3,640 "," 7,447 "," 11,252 "," 11,650 "," 4,171 ", 499 ," 15,433 "," 6,980 ", -   ," 9,124 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTP13, Barlborough NHS Treatment Centre , -   , * , -   , -   , -   , 97 , -   , -   , -   , -   , -   , 6 ," 2,287 ", -   , -   , -   , -   , -   , 73 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVL, Barnet and Chase Farm Hospitals NHS Trust ," 2,456 "," 12,664 "," 1,558 "," 1,374 ", 439 ," 1,448 "," 1,758 ", 432 ," 5,058 "," 6,157 "," 15,640 "," 2,891 "," 6,596 "," 7,113 "," 9,465 "," 2,454 ", 230 ," 9,687 "," 4,763 ", -   ," 13,641 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRP," Barnet, Enfield and Haringey Mental Health NHS Trust ", -   , -   , -   , -   ," 2,329 ", 39 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 139 , * , -   , 15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFF, Barnsley Hospital NHS Foundation Trust ," 1,586 "," 5,920 "," 1,454 "," 1,486 ", 353 , 824 , 86 , 314 ," 4,084 "," 4,695 "," 9,439 "," 2,074 "," 3,724 "," 3,831 "," 7,565 ", 890 , 109 ," 9,323 "," 3,854 ", -   ," 5,256 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1H, Barts Health NHS Trust ," 6,115 "," 17,259 "," 5,052 "," 3,316 "," 2,152 "," 5,420 "," 5,252 "," 1,172 "," 17,353 "," 14,042 "," 27,980 "," 4,232 "," 15,317 "," 15,543 "," 25,332 "," 5,769 "," 1,779 "," 30,783 "," 18,174 ", -   ," 18,656 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDD, Basildon and Thurrock University Hospitals NHS Foundation Trust ," 1,617 "," 7,661 "," 1,778 "," 1,116 ", 284 ," 1,445 ", 75 , 399 ," 8,942 "," 4,781 "," 9,254 "," 1,086 "," 5,976 "," 4,921 "," 9,562 ", 603 , 185 ," 8,057 "," 3,770 ", -   ," 9,508 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC1, Bedford Hospital NHS Trust , 958 ," 4,242 ", 856 , 594 , 193 , 755 ," 2,563 ", 266 ," 3,842 "," 2,796 "," 7,765 "," 1,592 "," 2,724 "," 3,459 "," 4,606 "," 1,081 ", 442 ," 4,580 "," 2,722 ", -   ," 4,159 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWF01, Benenden Hospital , * , * , -   , -   , -   , 10 , 364 , * , * , 29 , 51 , * , 361 , 38 , -   , -   , 8 , * , 9 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NXP16, Berkshire Health - IHG , -   , -   , -   , -   , -   , 21 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWX, Berkshire Healthcare NHS Foundation Trust , -   , * , -   , -   , 884 , * , -   , -   , -   , -   , -   , -   , * , * , -   , -   , -   , 8 , * , -   , 146 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NXP18, BHI Parkside , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXT, Birmingham and Solihull Mental Health NHS Foundation Trust , * , -   , -   , -   ," 2,379 ", 103 , -   , -   , * , -   , -   , -   , * , -   , -   , -   , -   , 80 , * , -   , 74 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ3, Birmingham Children's Hospital NHS Foundation Trust ," 2,055 "," 5,030 "," 2,050 "," 1,764 ", * ," 1,401 ", 519 , 924 , 500 ," 3,865 "," 3,279 ", 908 ," 1,121 "," 1,287 ", * , 701 ," 5,393 "," 3,670 "," 3,911 ", -   ," 1,498 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYW, Birmingham Community Healthcare NHS Trust , 32 , 99 , 12 , 38 , 117 , 188 , * , * , 266 , 115 ," 2,093 ", 57 , 188 , 110 , -   , -   , 66 , 707 , 361 , -   , 256 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXKTC, Birmingham Treatment Centre , 38 ," 6,284 ", 112 , 90 , 13 , 380 , * , 236 , 266 , 729 ," 1,673 ", 276 ," 2,249 "," 1,403 ", * , 7 , 120 , 594 , 421 , -   , 359 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLU, Birmingham Women's NHS Foundation Trust , 35 , 532 , 9 , 26 , -   , -   , * , -   , * , * , 11 , 16 , * ," 1,886 "," 11,046 "," 3,604 ", 346 , 920 , 76 , -   ," 4,673 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAJ, Black Country Partnership NHS Foundation Trust , * , -   , -   , -   ," 1,080 ", 45 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 419 , * , -   , 55 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXL, Blackpool Teaching Hospitals NHS Foundation Trust ," 2,105 "," 18,375 "," 1,447 "," 1,387 ", 737 ," 1,413 "," 5,104 ", 515 ," 10,045 "," 5,511 "," 10,400 "," 2,952 "," 5,705 "," 5,982 "," 5,536 ", 964 , 309 ," 11,687 "," 6,152 ", -   ," 7,683 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC31, Blakelands Hospital , 20 , 69 , 23 , -   , -   , 83 , 634 , -   , 52 , -   , 560 , 44 , 387 , * , -   , -   , * , 254 , 11 , -   , 22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT402, BMI - Bath Clinic , 6 , 34 , -   , * , -   , 77 , 335 , * , 23 , 16 , 367 , 29 ," 1,316 ", 165 , -   , -   , 11 , 31 , 34 , -   , 11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT405, BMI - Bishops Wood , 7 , 35 , -   , * , -   , 26 , 816 , 31 , 77 , 78 , 193 , 19 , 582 , 141 , -   , -   , * , 48 , 14 , -   , 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT409, BMI - Chelsfield Park Hospital , -   , 12 , -   , * , -   , * , 15 , -   , -   , * , 42 , * , 241 , 75 , -   , -   , -   , 11 , 10 , -   , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT414, BMI - Fawkham Manor Hospital , 7 , 20 , * , * , -   , 41 , 212 , 7 , 29 , 25 , 147 , 13 , 388 , 98 , * , -   , * , 56 , -   , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT417, BMI - Goring Hall Hospital , * , 47 , * , * , * , 65 , 22 , * , 6 , 12 , 247 , 12 ," 1,975 ", 562 , -   , -   , 7 , 245 , 49 , -   , 36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT433, BMI - Sarum Road Hospital , -   , 7 , -   , -   , -   , 85 , -   , * , * , 26 , 31 , 8 , 662 , 51 , -   , -   , * , 19 , 8 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT436, BMI - Shirley Oaks Hospital , * , 26 , * , * , -   , 74 , 304 , * , 86 , 27 , 231 , 11 , 665 , 176 , -   , -   , * , 60 , 7 , -   , 45 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT401, BMI - The Alexandra Hospital , 11 , 73 , * , * , * , 75 , * , -   , 39 , * , 701 , 64 ," 1,490 ", 89 , -   , -   , * , 76 , 23 , -   , 13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT403, BMI - The Beardwood Hospital , 17 , 32 , 7 , * , 13 , 121 , 7 , 47 , 227 , 166 , 438 , 34 ," 2,977 ", 242 , -   , -   , * , 224 , 27 , -   , 34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT404, BMI - The Beaumont Hospital , 28 , 32 , 6 , 12 , 8 , 113 , -   , 70 , 136 , 194 , 562 , 29 ," 1,819 ", 381 , -   , -   , 9 , 234 , 16 , -   , 210 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
