 SHA/Provider ,Certain infectious and parasitic diseases (A00-B99),Neoplasms (C00-D48),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Endocrine, nutritional and metabolic diseases (E00-E90)",Mental and behavioural disorders (F00-F99),Diseases of the nervous system (G00-G99),Diseases of the eye and adnexa (H00-H59),Diseases of the ear and mastoid process (H60-H95),Diseases of the circulatory system (I00-I99),Diseases of the respiratory system (J00-J99),Diseases of the digestive system (K00-K93),Diseases of the skin and subcutaneous tissue (L00-L99),Diseases of the musculoskeletal system and connective tissue (M00-M99),Diseases of the genitourinary system (N00-N99),"Pregnancy, childbirth and the puerperium (O00-O99)",Certain conditions originating in the perinatal period (P00-P96),"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Injury, poisoning and certain other consequences of external causes (S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NTH11 Lourdes Hospital , -   , * , * , -   , -   , * , -   , 8 , 23 , 38 , 104 , * , 10 , 81 , -   , -   , -   , 116 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC05 Euxton Hall Hospital , -   , 7 , -   , -   , -   , * , -   , 6 , 123 , 122 , 455 , 12 ," 1,348 ", 136 , -   , -   , * , 479 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC07 Fulwood Hall Hospital , -   , * , -   , * , -   , 17 , 40 , * , 37 , 42 , 177 , 13 ," 1,029 ", 67 , -   , -   , -   , 188 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC12 Oaklands Hospital , -   , * , -   , * , -   , -   , 53 , 42 , -   , 8 , 20 , * , 129 , 37 , -   , -   , * , * , -   , 40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC16 Renacres Hospital , -   , 35 , -   , -   , * , 17 , 21 , 40 , * , 94 , 278 , 28 , 317 , -   , -   , -   , * , 124 , 21 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC33 Gisburne Park NHS Treatment Centre , -   , 43 , -   , -   , -   , -   , -   , -   , 53 , -   , 108 , 20 ," 1,894 ", -   , -   , -   , -   , 224 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC34 Fylde Coast NHS Treatment Centre , -   , * , * , 7 , -   , 55 , -   , * , 31 , 64 , 107 , 8 , 640 , * , -   , -   , -   , 145 , 11 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC39 Kendal NHS Treatment Centre , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , 104 , * , 187 , -   , -   , -   , -   , 39 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVG01 Fairfield Hospital , -   , 7 , -   , * , -   , -   , 43 , -   , -   , -   , -   , 8 , * , 16 , -   , 9 , 28 , 159 , 58 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RBL Wirral University Teaching Hospital NHS Foundation Trust ," 1,585 "," 8,377 "," 1,403 "," 1,721 "," 1,244 "," 1,754 "," 3,354 ", 606 ," 6,151 "," 5,834 "," 11,906 "," 2,187 "," 6,783 "," 6,554 "," 9,840 "," 1,835 ", 327 ," 12,044 "," 7,305 "," 7,520 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RBN St Helens and Knowsley Hospitals NHS Trust ," 1,095 "," 5,428 ", 686 , 701 , 939 , 948 ," 2,501 ", 431 ," 3,569 "," 5,685 "," 10,006 "," 2,769 "," 4,066 "," 5,492 "," 7,029 ", 926 , 301 ," 14,911 "," 10,560 "," 6,429 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RBQ Liverpool Heart and Chest Hospital NHS Trust , 16 ," 1,115 ", 74 , 363 , * , 12 , -   , -   ," 8,024 ", 573 , 152 , 14 , 7 , -   , -   , * , 175 , 972 , 329 , 508 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RBS Alder Hey Children's NHS Foundation Trust ," 2,197 "," 3,088 ", 492 , 903 , 599 ," 1,058 ", 673 , 693 , 528 ," 5,736 "," 4,189 ", 856 ," 2,262 "," 1,697 ", -   , 701 ," 3,806 "," 4,353 "," 4,002 "," 2,084 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RBT Mid Cheshire Hospitals NHS Foundation Trust ," 1,169 "," 4,201 "," 1,512 "," 1,137 ", 464 , 860 ," 2,683 ", 352 ," 3,605 "," 3,725 "," 8,935 "," 1,183 "," 4,031 "," 3,609 "," 7,046 "," 1,174 ", 212 ," 12,056 "," 4,895 "," 4,516 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RBV The Christie NHS Foundation Trust , 101 ," 16,740 "," 1,775 "," 1,186 ", * , 58 , 10 , * , 92 , 267 , 473 , 178 , 96 , 253 , -   , -   , 16 , 218 , 221 ," 1,515 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 REM Aintree University Hospitals NHS Foundation Trust , 552 ," 6,879 "," 1,728 "," 1,360 ", 733 ," 1,318 "," 3,904 ", 416 ," 6,716 "," 5,679 "," 15,709 "," 2,345 "," 5,120 "," 4,039 ", 13 , -   , 274 ," 12,950 "," 5,998 "," 3,080 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 REN Clatterbridge Centre for Oncology NHS Foundation Trust , 132 ," 3,750 ", 563 , 33 , -   , 10 , -   , -   , 32 , 31 , 44 , * , * , 17 , -   , -   , -   , 86 , 10 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 REP Liverpool Women's NHS Foundation Trust , 14 ," 1,248 ", 16 , 11 , -   , * , 9 , -   , 10 , * , 53 , 93 , * ," 5,273 "," 21,131 "," 3,166 ", 325 , 921 , 122 ," 7,648 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RET Walton Centre For Neurology and Neurosurgery NHS Trust , 16 , 477 , * , 16 , 28 ," 1,669 ", 50 , * , 466 , * , * , * ," 1,419 ", * , * , -   , 127 , 524 , 317 , 66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RJN East Cheshire NHS Trust , 698 ," 2,339 ", 428 , 356 , 321 , 692 ," 1,627 ", 181 ," 2,398 "," 2,490 "," 6,191 ", 585 ," 2,771 "," 2,222 "," 3,056 ", 937 , 148 ," 5,058 "," 2,979 "," 2,445 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RJR Countess of Chester Hospital NHS Foundation Trust , 658 ," 5,452 "," 1,285 ", 880 , 250 , 827 ," 2,082 ", 604 ," 3,823 "," 3,313 "," 7,649 "," 1,519 "," 3,511 "," 4,999 "," 8,662 "," 1,302 ", 359 ," 13,582 "," 5,572 "," 6,920 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RJX Calderstones Partnership NHS Foundation Trust , -   , -   , -   , -   , 139 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 50 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RM2 University Hospital of South Manchester NHS Foundation Trust , 845 ," 7,829 ", 815 , 842 , 315 ," 1,332 ", 68 , 441 ," 9,173 "," 4,929 "," 9,219 "," 2,052 "," 6,310 "," 5,817 "," 4,996 "," 1,161 "," 1,019 "," 9,912 "," 6,776 "," 5,058 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RM3 Salford Royal NHS Foundation Trust , 469 ," 4,735 "," 1,596 "," 1,711 ", 536 ," 3,311 ", 59 , 297 ," 5,202 "," 2,883 "," 9,131 "," 1,398 "," 8,729 "," 4,312 "," 9,786 "," 1,543 ", 315 ," 9,037 "," 5,051 "," 6,664 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RM4 Trafford Healthcare NHS Trust , 339 ," 2,345 "," 1,027 ", 739 , 118 , 523 , 18 , 215 ," 1,232 "," 1,745 "," 3,907 ", 603 ," 3,078 "," 1,869 "," 2,360 ", 535 , 108 ," 4,083 "," 1,638 "," 2,125 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RMC Royal Bolton Hospital NHS Foundation Trust ," 1,704 "," 3,522 ", 920 , 596 , 284 ," 1,055 "," 4,298 ", 606 ," 4,486 "," 5,518 "," 9,737 "," 1,407 "," 2,844 "," 4,100 "," 9,704 ", 817 , 284 ," 12,441 "," 4,369 "," 7,410 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RMP Tameside Hospital NHS Foundation Trust , 773 ," 2,684 ", 842 , 536 , 396 , 854 , 41 , 389 ," 4,250 "," 4,594 "," 7,055 "," 1,100 "," 3,502 "," 3,422 "," 6,014 ", 903 , 199 ," 6,504 "," 3,529 "," 3,296 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RNL North Cumbria University Hospitals NHS Trust ," 1,228 "," 7,588 "," 1,350 ", 895 , 553 ," 1,763 "," 2,595 ", 601 ," 10,515 "," 4,663 "," 11,332 "," 1,656 "," 6,165 "," 10,283 "," 8,115 ", 619 , 216 ," 9,630 "," 5,186 "," 5,291 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RNN Cumbria Partnership NHS Foundation Trust , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 827 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RQ6 Royal Liverpool and Broadgreen University Hospitals NHS Trust , 588 ," 5,243 "," 1,015 "," 1,317 ", 678 ," 1,170 "," 6,198 ", 398 ," 6,226 "," 4,986 "," 15,188 "," 2,634 "," 8,538 "," 4,597 ", 19 , -   , 256 ," 12,031 "," 8,042 "," 1,985 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" RRF Wrightington, Wigan and Leigh NHS Foundation Trust ", 884 ," 7,005 "," 1,660 "," 1,779 ", 619 ," 1,379 "," 3,384 ", 487 ," 4,831 "," 4,217 "," 10,624 "," 1,834 "," 11,544 "," 3,591 "," 7,228 "," 1,057 ", 349 ," 9,015 "," 6,051 "," 4,637 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RT2 Pennine Care NHS Foundation Trust , -   , -   , -   , -   ," 2,437 ", 127 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 115 , 10 , 142 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RTV 5 Boroughs Partnership NHS Trust , * , -   , -   , * ," 2,433 ", 139 , -   , -   , * , -   , * , -   , -   , -   , -   , -   , -   , 80 , * , 74 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RTX University Hospitals of Morecambe Bay NHS Trust ," 1,419 "," 10,083 "," 1,014 ", 840 , 480 ," 1,669 "," 3,641 ", 674 ," 6,520 "," 6,430 "," 11,067 "," 3,134 "," 7,074 "," 5,884 "," 5,449 ", 931 , 603 ," 10,722 "," 6,226 "," 6,006 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RVY Southport and Ormskirk Hospital NHS Trust , 776 ," 4,864 "," 2,041 "," 1,128 ", 477 , 820 ," 3,303 ", 311 ," 3,811 "," 3,858 "," 7,408 "," 1,102 "," 5,118 "," 3,342 "," 4,732 ", 982 , 158 ," 6,259 "," 3,721 "," 4,099 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RW3-X Central Manchester University Hospitals NHS Foundation Trust ," 1,526 "," 9,394 "," 2,887 "," 4,371 ", 619 ," 1,822 "," 10,738 "," 1,679 "," 8,225 "," 7,123 "," 16,672 "," 2,085 "," 5,680 "," 7,304 "," 9,054 "," 2,422 "," 3,801 "," 17,478 "," 9,180 "," 10,112 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RW4 Mersey Care NHS Trust , -   , -   , -   , -   ," 2,770 ", 107 , -   , -   , -   , * , -   , -   , -   , * , -   , -   , -   , * , 20 , 411 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RW5 Lancashire Care NHS Foundation Trust , -   , * , -   , -   ," 3,435 ", 299 , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , 94 , * , 244 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RW6 Pennine Acute Hospitals NHS Trust ," 4,291 "," 13,942 "," 3,592 "," 3,288 "," 1,083 "," 3,015 "," 7,473 "," 1,212 "," 14,357 "," 13,365 "," 28,767 "," 5,010 "," 20,145 "," 13,694 "," 21,734 "," 3,599 ", 930 ," 23,466 "," 12,147 "," 15,463 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RWJ Stockport NHS Foundation Trust ," 1,392 "," 4,913 "," 1,301 ", 934 , 543 ," 1,340 "," 2,774 ", 413 ," 5,329 "," 4,946 "," 11,072 "," 1,417 "," 6,561 "," 6,545 "," 9,165 "," 2,026 ", 305 ," 10,226 "," 5,441 "," 7,474 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RWW Warrington and Halton Hospitals NHS Foundation Trust , 915 ," 4,464 "," 1,724 "," 1,610 ", 638 , 923 ," 3,144 ", 457 ," 5,971 "," 4,402 "," 9,797 "," 1,336 "," 5,550 "," 5,491 "," 7,616 "," 1,611 ", 241 ," 11,597 "," 6,461 "," 5,307 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RXA Cheshire and Wirral Partnership NHS Foundation Trust , -   , -   , -   , * ," 1,959 ", 24 , -   , -   , * , * , * , -   , -   , * , -   , -   , -   , 467 , 12 , 270 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" RXL Blackpool, Fylde and Wyre Hospitals NHS Foundation Trust ", 870 ," 13,842 "," 1,446 "," 1,674 ", 586 ," 1,205 "," 6,926 "," 3,107 "," 9,350 "," 5,297 "," 10,715 "," 3,517 "," 8,668 "," 6,800 "," 5,876 "," 1,174 ", 425 ," 16,439 "," 5,161 "," 8,700 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RXN Lancashire Teaching Hospitals NHS Foundation Trust ," 1,610 "," 12,014 "," 1,908 "," 1,713 ", * ," 3,476 "," 3,195 ", 802 ," 9,696 "," 6,711 "," 12,845 "," 3,561 "," 11,210 "," 9,132 "," 12,786 ", * ," 1,075 "," 10,609 "," 8,786 "," 10,073 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RXR East Lancashire Hospitals NHS Trust ," 2,007 "," 7,949 "," 2,056 "," 1,396 ", 643 ," 1,632 "," 4,384 ", 799 ," 7,090 "," 7,661 "," 13,963 "," 2,175 "," 7,672 "," 6,388 "," 12,927 "," 1,386 ", 548 ," 21,633 "," 6,862 "," 10,793 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
