"Table E: Finished admission episodes by primary diagnosis chapter for England, SHA and individual provider (2012-13)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Health and Social Care Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2012-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, SHA/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RE9, South Tyneside NHS Foundation Trust , 989 ," 5,512 ", 874 , 590 , 151 , 415 , 18 , 42 ," 2,180 "," 2,521 "," 5,681 ", 778 ," 2,311 "," 1,450 "," 3,974 ", 487 , 65 ," 4,550 "," 2,277 "," 2,356 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT333, Spire Washington Hospital , * , 81 , * , -   , -   , 213 , -   , 8 , 136 , 47 , 277 , 39 ," 1,507 ", 98 , -   , -   , * , 20 , 29 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC35, Tees Valley Treatment Centre , 49 , 503 , 67 , -   , -   , 167 , * , 6 , 411 , -   ," 1,973 ", 380 , 388 , 346 , -   , -   , * , 386 , * , 182 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX3," Tees, Esk and Wear Valleys NHS Foundation Trust ", -   , -   , -   , * ," 2,558 ", 92 , * , -   , * , * , -   , -   , -   , * , -   , -   , -   , 283 , -   ," 2,330 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD, The Newcastle Upon Tyne Hospitals NHS Foundation Trust ," 4,024 "," 35,780 "," 4,354 "," 3,392 ", 606 ," 6,899 "," 11,287 "," 1,882 "," 14,086 "," 10,467 "," 21,298 "," 6,345 "," 15,769 "," 10,668 "," 10,442 "," 2,161 "," 4,167 "," 18,507 "," 13,118 "," 17,144 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN401, Tyneside Surgical Services At The North East NHS Surgery Centre , * , 10 , -   , -   , * , 26 , * , -   , 9 , -   , 42 , 27 , 865 , 15 , -   , -   , * , 18 , * , 14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q31, NORTH WEST STRATEGIC HEALTH AUTHORITY ," 60,131 "," 201,265 "," 40,951 "," 39,524 "," 31,589 "," 46,103 "," 94,690 "," 12,594 "," 145,187 "," 139,920 "," 284,561 "," 45,294 "," 187,697 "," 147,077 "," 184,570 "," 34,744 "," 15,805 "," 263,794 "," 150,387 "," 167,978 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTV, 5 Boroughs Partnership NHS Foundation Trust , -   , -   , -   , * ," 2,104 ", 16 , -   , -   , -   , * , * , * , * , -   , -   , -   , * , 30 , -   , 312 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM, Aintree University Hospital NHS Foundation Trust ," 1,354 "," 8,319 "," 1,738 "," 1,723 ", 593 ," 1,568 "," 3,174 ", 313 ," 4,730 "," 5,053 "," 13,002 "," 1,864 "," 5,446 "," 3,828 ", 9 , -   , 135 ," 11,323 "," 5,370 "," 2,799 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS, Alder Hey Children's NHS Foundation Trust ," 1,380 "," 3,746 ", 609 ," 1,173 ", * ," 1,098 ", 729 , 561 , 287 ," 2,679 "," 3,964 ", 672 ," 2,396 "," 1,790 ", * , 583 ," 4,295 "," 2,513 "," 3,050 "," 1,589 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXL, Blackpool Teaching Hospitals NHS Foundation Trust ," 2,213 "," 18,117 "," 1,281 ", 956 , 669 ," 1,372 "," 9,885 ", 520 ," 9,892 "," 5,335 "," 10,255 "," 2,899 "," 5,518 "," 5,849 "," 5,565 "," 1,050 ", 354 ," 13,720 "," 5,896 "," 7,648 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT401, BMI - The Alexandra Hospital , 8 , 57 , 8 , -   , * , 106 , -   , -   , 27 , * , 512 , 53 ," 1,506 ", 136 , * , -   , 9 , 95 , 19 , 23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT403, BMI - The Beardwood Hospital , 18 , 34 , 6 , * , * , 71 , 119 , 51 , 199 , 145 , 441 , 41 ," 2,163 ", 250 , -   , -   , * , 176 , 9 , 31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT404, BMI - The Beaumont Hospital , 22 , 33 , 10 , 8 , * , 137 , 61 , 65 , 131 , 216 , 458 , 28 ," 1,713 ", 337 , -   , -   , * , 128 , 16 , 180 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT420, BMI - The Highfield Hospital , 11 , 49 , * , * , * , 229 , 372 , 18 , 116 , 203 , 372 , 38 ," 1,492 ", 496 , -   , -   , 8 , 133 , 11 , 224 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT439, BMI - The South Cheshire Private Hospital , 10 , 56 , * , -   , -   , 27 , -   , 9 , 141 , 21 , 281 , 21 , 384 , 241 , -   , -   , * , 60 , 7 , 15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT497, BMI - Gisburne Park Hospital , * , 25 , * , * , * , 73 , 149 , 11 , 105 , 75 , 131 , 12 , 962 , 175 , -   , -   , 7 , 137 , 9 , 49 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT449, BMI - The Lancaster Hospital , * , 23 , -   , -   , -   , 42 , 59 , 9 , 18 , 95 , 71 , 21 , 926 , 88 , -   , -   , * , 22 , 7 , 58 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMC, Bolton NHS Foundation Trust ," 3,278 "," 4,791 ", 926 , 772 , 443 ," 1,194 "," 5,637 ", 557 ," 4,535 "," 6,338 "," 10,648 "," 1,630 "," 3,569 "," 4,225 "," 13,371 "," 1,540 ", 238 ," 10,206 "," 4,716 "," 10,593 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJX, Calderstones Partnership NHS Foundation Trust , -   , -   , -   , -   , 181 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 12 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW3-X, Central Manchester University Hospitals NHS Foundation Trust ," 3,870 "," 13,387 "," 4,649 "," 6,177 ", 748 ," 2,504 "," 11,292 "," 1,319 "," 9,027 "," 9,215 "," 22,840 "," 2,320 "," 10,488 "," 11,222 "," 14,936 "," 2,696 "," 3,641 "," 15,504 "," 10,479 "," 19,517 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXA, Cheshire and Wirral Partnership NHS Foundation Trust , -   , -   , -   , -   ," 2,440 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJR, Countess Of Chester Hospital NHS Foundation Trust ," 2,073 "," 6,015 "," 1,612 "," 1,134 ", 261 , 937 ," 3,069 ", 567 ," 4,052 "," 4,133 "," 9,561 "," 1,330 "," 4,296 "," 4,313 "," 9,840 "," 1,259 ", 233 ," 11,395 "," 4,932 "," 6,798 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNN, Cumbria Partnership NHS Foundation Trust , 59 , 526 , 164 , 110 , 857 , 210 , 6 , 6 , 508 , 551 , 253 , 140 , 294 , 462 , * , -   , * , 485 , 653 , 62 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJN, East Cheshire NHS Trust ," 1,476 "," 2,563 ", 621 , 353 , 326 , 543 ," 1,403 ", 155 ," 2,545 "," 2,611 "," 6,210 ", 542 ," 2,320 "," 1,875 "," 2,760 ", 605 , 73 ," 4,292 "," 2,978 "," 2,512 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXR, East Lancashire Hospitals NHS Trust ," 4,721 "," 7,286 "," 1,953 "," 1,735 ", 807 ," 2,230 "," 4,090 ", 709 ," 8,366 "," 10,668 "," 17,130 "," 2,553 "," 9,359 "," 7,685 "," 10,896 "," 2,810 ", 611 ," 16,779 "," 9,258 "," 9,019 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC05, Euxton Hall Hospital , 7 , 104 , 9 , * , * , 101 , -   , 18 , 353 , 103 , 995 , 144 ," 1,220 ", 559 , -   , -   , 28 , 258 , 30 , 137 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVG01, Fairfield Hospital , 12 , 131 , 21 , * , -   , 80 , 340 , 23 , 297 , 101 , 510 , 175 , 803 , 314 , * , -   , 6 , 198 , 15 , 87 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC07, Fulwood Hall Hospital , 8 , 88 , 7 , -   , * , 140 ," 1,012 ", 13 , 347 , 110 , 604 , 84 ," 2,110 ", 443 , * , -   , 15 , 108 , 70 , 75 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC34, Fylde Coast NHS Treatment Centre , * , 42 , * , * , -   , 73 , -   , * , 57 , 132 , 271 , 68 , 753 , * , -   , -   , * , 115 , 24 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC33, Gisburne Park NHS Treatment Centre , -   , 36 , -   , -   , -   , -   , -   , 88 , 191 , 459 , 212 , * ," 1,076 ", -   , -   , -   , -   , 184 , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXV, Greater Manchester West Mental Health NHS Foundation Trust , * , * , -   , * ," 2,239 ", 11 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 96 , * , 19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC39, Kendal NHS Treatment Centre , -   , 7 , -   , -   , -   , 16 , -   , -   , 48 , -   , 176 , 10 , 206 , 28 , * , -   , -   , 50 , * , 27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW5, Lancashire Care NHS Foundation Trust , * , 6 , * , * ," 2,932 ", 181 , -   , * , 7 , 30 , * , 6 , 151 , 9 , -   , -   , -   , 120 , 18 , 120 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXN, Lancashire Teaching Hospitals NHS Foundation Trust ," 2,979 "," 11,788 "," 3,654 "," 2,201 ", 572 ," 4,369 "," 3,314 ", 736 ," 7,436 "," 7,437 "," 13,221 "," 3,386 "," 10,546 "," 8,186 "," 13,684 "," 1,044 ", 614 ," 13,130 "," 9,877 "," 10,381 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY1, Liverpool Community Health NHS Trust , 20 , 22 , * , 27 , 11 , 26 , * , * , 97 , 122 , 49 , 30 , 74 , 77 , -   , -   , -   , 227 , 304 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBQ, Liverpool Heart and Chest NHS Foundation Trust , 20 ," 1,446 ", 97 , 398 , -   , * , * , * ," 8,901 ", 715 , 111 , 15 , 21 , * , * , -   , 164 , 913 , 311 , 491 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REP, Liverpool Women's NHS Foundation Trust , 10 ," 1,366 ", 71 , 9 , -   , -   , * , -   , * , 6 , 39 , 24 , * ," 4,566 "," 19,726 "," 5,539 ", 391 , 929 , 92 ," 8,596 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAE, Manchester Mental Health and Social Care Trust , -   , -   , -   , -   ," 1,174 ", 13 , -   , -   , -   , -   , -   , * , -   , -   , 6 , -   , * , 21 , * , 17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW4, Mersey Care NHS Trust , -   , -   , -   , -   ," 3,134 ", 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 47 , -   , 425 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBT, Mid Cheshire Hospitals NHS Foundation Trust ," 1,768 "," 4,221 "," 1,136 ", 768 , 284 , 871 ," 3,806 ", 291 ," 3,001 "," 3,484 "," 9,036 ", 922 ," 3,606 "," 3,945 "," 7,375 ", 946 , 181 ," 9,320 "," 3,350 "," 4,817 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
