"Table E: Finished admission episodes by primary diagnosis chapter for England, SHA and individual provider (2011-12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Health and Social Care Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2011-12. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please see HESonline [http://www.hesonline.nhs.uk] for more information on data quality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, SHA/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC1, Bedford Hospital NHS Trust , 468 ," 3,399 ", 649 , 456 , 122 , 744 ," 3,605 ", 271 ," 4,142 "," 2,455 "," 8,036 "," 1,514 "," 2,691 "," 3,296 "," 4,748 ", 817 , 616 ," 4,481 "," 2,864 "," 4,326 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT490, BMI Southend Private Hospital , * , 86 , -   , * , -   , * , 308 , -   , * , 12 , 15 , 60 , 19 , 35 , -   , -   , -   , * , * , 15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT446, BMI St Edmunds Hospital , -   , 8 , -   , * , -   , 15 , 69 , -   , -   , -   , 78 , * , 381 , 89 , -   , -   , -   , 25 , * , 17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT423, BMI - The Manor Hospital , -   , * , -   , -   , * , -   , -   , -   , -   , -   , 56 , 8 , * , 18 , -   , -   , -   , 7 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT432, BMI - The Sandringham Hospital , * , * , -   , -   , -   , -   , 117 , -   , -   , -   , 109 , -   , 364 , -   , -   , -   , -   , -   , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNQ01, Braintree Clinical Services Ltd , 7 , 68 , 25 , * , * , 127 , 260 , 11 , 20 , 37 , 318 , 62 , 695 , 183 , -   , -   , * , 278 , 64 , 27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT1, Cambridgeshire and Peterborough NHS Foundation Trust , -   , -   , * , * ," 1,441 ", 103 , -   , -   , * , * , -   , * , -   , -   , * , -   , -   , 491 , 12 ," 1,035 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYV, Cambridgeshire Community Services NHS Trust , 447 , 285 , 58 , 65 , 22 , 77 , 30 , 24 , 86 , 684 , 491 , 76 , 136 , 101 , -   , 451 , 22 ," 1,264 ", 335 , 79 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGT, Cambridge University Hospitals NHS Foundation Trust ," 1,447 "," 28,918 "," 2,860 "," 2,245 ", 489 ," 3,602 "," 5,305 "," 1,034 "," 6,471 "," 5,592 "," 15,459 "," 1,934 "," 9,258 "," 6,664 "," 9,138 "," 1,950 "," 1,897 "," 9,516 "," 9,654 "," 7,586 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NW931, Clinicenta Surgicentre , 8 , 72 , -   , 6 , -   , 78 , 913 , 61 , 56 , 206 , 233 , 59 ," 1,151 ", 294 , 110 , * , * , 153 , 83 , 82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDE, Colchester Hospital University NHS Foundation Trust , 863 ," 6,045 ", 928 , 740 , 418 ," 1,209 "," 2,804 ", 522 ," 5,116 "," 4,217 "," 11,283 "," 1,596 "," 5,592 "," 5,439 "," 8,907 "," 1,071 ", 386 ," 8,933 "," 5,148 "," 5,658 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWH, East and North Hertfordshire NHS Trust , 965 ," 11,869 ", 803 , 936 , 346 ," 1,086 "," 1,962 ", 567 ," 5,166 "," 4,794 "," 9,962 "," 1,575 "," 4,052 "," 5,553 "," 6,857 "," 1,070 ", 276 ," 11,387 "," 6,863 "," 10,236 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC06, Fitzwilliam Hospital , * , 32 , * , * , -   , 55 , 87 , 16 , 50 , 81 , 687 , 47 ," 2,204 ", 236 , * , -   , 8 , 147 , 24 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PR, Great Yarmouth and Waveney PCT , * , 53 , 11 , * , * , 11 , -   , -   , 15 , 19 , 12 , 12 , 12 , 18 , -   , -   , -   , 206 , 33 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY4, Hertfordshire Community NHS Trust , 14 , 9 , * , 11 , * , 26 , * , -   , 203 , 69 , 33 , 15 , 56 , 47 , -   , -   , * ," 3,129 ", 297 , 381 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWR, Hertfordshire Partnership NHS Foundation Trust , -   , -   , -   , -   ," 1,078 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , 540 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQQ-X, Hinchingbrooke Health Care NHS Trust , 392 ," 5,483 ", 742 , 785 , 180 , 490 ," 2,549 ", 274 ," 1,864 "," 1,843 "," 5,188 ", 747 ," 3,003 "," 1,843 "," 3,377 ", 496 , 96 ," 3,477 "," 2,000 "," 3,322 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGQ, Ipswich Hospital NHS Trust ," 1,056 "," 14,644 "," 1,765 "," 1,602 ", 327 ," 1,878 "," 2,299 ", 564 ," 5,151 "," 3,819 "," 10,587 "," 1,140 "," 6,546 "," 4,456 "," 7,926 "," 2,430 ", 297 ," 8,861 "," 4,422 "," 5,946 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGP, James Paget University Hospitals NHS Foundation Trust , 766 ," 6,772 ", 988 , 813 , 237 , 944 ," 5,220 ", 357 ," 2,792 "," 3,218 "," 6,761 "," 1,426 "," 3,635 "," 3,894 "," 4,309 ", 562 , 209 ," 5,650 "," 3,433 "," 4,247 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC9, Luton and Dunstable Hospital NHS Foundation Trust ," 1,726 "," 7,033 "," 1,390 "," 1,433 ", 282 ," 1,203 "," 2,587 ", 672 ," 3,327 "," 5,610 "," 10,264 "," 1,250 "," 4,023 "," 4,284 "," 10,825 "," 1,202 ", 458 ," 9,469 "," 4,387 "," 9,664 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ8, Mid Essex Hospital Services NHS Trust , 728 ," 15,362 "," 1,761 ", 625 , 262 ," 2,241 "," 2,638 ", 551 ," 4,983 "," 3,791 "," 7,820 "," 3,462 "," 7,101 "," 4,400 "," 6,284 "," 1,462 "," 1,032 "," 7,457 "," 11,471 "," 6,093 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PX, Mid Essex PCT , * , 26 , 88 , 15 , * , 54 , * , -   , 104 , 59 , 22 , 54 , 60 , 57 , -   , -   , -   , 155 , 110 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM1, Norfolk and Norwich University Hospitals NHS Foundation Trust ," 1,805 "," 29,019 "," 2,534 "," 2,180 ", 754 ," 3,060 "," 10,739 ", 796 ," 10,624 "," 7,198 "," 18,062 "," 3,354 "," 10,426 "," 8,169 "," 13,538 "," 1,447 "," 1,103 "," 14,803 "," 10,238 "," 14,070 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMY-X, Norfolk and Suffolk NHS Foundation Trust , * , -   , -   , -   ," 1,978 ", 110 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 335 , * , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY3, Norfolk Community Health and Care NHS Trust , 39 , 530 , 43 , 52 , 92 , 139 , -   , * , 626 , 222 , 134 , 64 , 300 , 215 , -   , * , 17 , 278 , 716 , 828 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD, North Essex Partnership NHS Foundation Trust , -   , -   , -   , -   ," 1,586 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 494 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT204," Nuffield Health, Brentwood Hospital ", -   , 19 , -   , * , -   , 20 , * , -   , * , -   , 32 , 6 , 182 , 205 , -   , -   , * , 8 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT209," Nuffield Health, Cambridge Hospital ", -   , * , * , -   , -   , 6 , 70 , -   , 7 , -   , 21 , * , 173 , * , -   , -   , -   , -   , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT222," Nuffield Health, Ipswich Hospital ", -   , 6 , -   , -   , -   , * , -   , -   , 20 , -   , 118 , * , 61 , -   , -   , -   , -   , 13 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC13, Oaks Hospital , * , 121 , 19 , 8 , * , 44 , 216 , 8 , 100 , 87 , 752 , 33 , 797 , 548 , -   , -   , 9 , 140 , 12 , 39 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGM, Papworth Hospital NHS Foundation Trust , 67 , 763 , 155 , 791 , 53 ," 4,216 ", * , * ," 10,221 "," 4,246 ", 22 , * , 112 , * , 11 , * , 328 ," 1,221 ", 244 ," 1,046 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGN, Peterborough and Stamford Hospitals NHS Foundation Trust ," 1,128 "," 9,560 "," 1,461 ", 769 , 311 ," 1,235 "," 2,362 ", 444 ," 5,605 "," 4,722 "," 10,134 "," 1,881 "," 6,672 "," 5,377 "," 6,346 "," 1,128 ", 464 ," 9,570 "," 6,161 "," 7,035 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC15, Pinehill Hospital , * , 75 , 8 , 6 , * , 54 , 273 , 30 , 100 , 91 , 624 , 22 , 616 , 220 , -   , -   , * , 128 , 22 , 28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC19, Rivers Hospital , * , 172 , 6 , 7 , -   , 34 , 580 , 28 , 122 , 210 ," 1,689 ", 50 ," 1,106 ", 872 , * , -   , 9 , 236 , 23 , 140 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAJ, Southend University Hospital NHS Foundation Trust , 713 ," 16,650 "," 1,604 "," 1,091 ", 360 ," 1,330 "," 4,322 ", 312 ," 4,908 "," 3,511 "," 9,252 "," 1,703 "," 7,814 "," 5,553 "," 7,625 ", 665 , 253 ," 10,622 "," 4,953 "," 6,629 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWN, South Essex Partnership University NHS Foundation Trust , -   , * , -   , -   ," 2,225 ", 106 , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , 46 , -   , 175 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PY, South West Essex PCT , * , 9 , * , * , -   , 9 , -   , -   , 17 , 21 , 6 , 8 , 23 , 9 , -   , -   , -   , 120 , 42 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT315, Spire Bushey Hospital , -   , * , -   , -   , -   , -   , -   , -   , * , * , 45 , 12 , 211 , 45 , -   , -   , -   , * , 6 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT317, Spire Cambridge Lea Hospital , -   , 11 , -   , * , -   , * , -   , -   , -   , -   , 62 , 8 , 474 , -   , -   , -   , -   , -   , 11 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT316, Spire Harpenden Hospital , * , * , -   , * , -   , * , 158 , * , -   , 19 , 45 , 8 , 290 , 34 , -   , -   , * , * , 13 , 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT319, Spire Hartswood Hospital , -   , 19 , -   , -   , -   , 44 , 139 , 28 , * , 111 , 72 , 25 , 397 , 121 , -   , -   , * , 26 , * , 19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT318, Spire Norwich Hospital , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 937 , -   , -   , -   , * , -   , 9 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT313, Spire Wellesley Hospital , * , 70 , * , * , -   , 75 , 170 , 14 , 42 , 49 , 392 , 38 , 792 , 185 , -   , -   , * , 50 , 38 , 22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
