"Table E: Finished admission episodes by primary diagnosis chapter for England, Commissioning Region and individual provider (2019-20)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"NHS Digital, Hospital Episode Statistics for England. Inpatient statistics, 2019-20.",,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
, Commissioning Region/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,"Factors influencing health status and contact with health services 
(Z00-Z99)",
RDZ, The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust - (RDZ) ," 2,050 "," 19,375 "," 3,860 "," 2,200 "," 1,170 "," 2,125 "," 9,605 ", 155 ," 10,280 "," 5,555 "," 15,995 "," 2,110 "," 6,865 "," 7,065 ", 660 , -   , 115 ," 9,450 "," 4,875 ", 40 ," 2,905 ",
RPY, The Royal Marsden NHS Foundation Trust - (RPY) , 705 ," 15,195 "," 1,460 ", 460 , * , 55 , 10 , * , 135 , 350 ," 1,645 ", 185 , 105 , 865 , -   , -   , 10 ," 1,035 ", 480 , 15 ," 2,600 ",
RRJ, The Royal Orthopaedic Hospital NHS Foundation Trust - (RRJ) , * ," 1,920 ", * , * , * ," 1,500 ", -   , -   , * , * , -   , 35 ," 8,805 ", * , -   , -   , 165 , 10 ," 1,225 ", -   , 75 ,
RL4, The Royal Wolverhampton NHS Trust - (RL4) ," 3,390 "," 24,810 "," 3,720 "," 1,775 ", 810 ," 2,010 "," 5,545 ", 440 ," 9,310 "," 7,370 "," 15,605 "," 1,810 "," 13,155 "," 5,665 "," 12,210 "," 2,325 ", 445 ," 10,490 "," 5,790 ", 220 ," 5,840 ",
NT255, The Vale Hospital - (NT255) , -   , -   , -   , -   , -   , -   , * , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
RET, The Walton Centre NHS Foundation Trust - (RET) , 10 , 700 , 10 , 15 , 55 ," 4,575 ", 55 , * , 785 , * , * , * ," 3,485 ", 30 , * , -   , 145 , 630 , 635 , -   , 110 ,
NW602, The Wellington Hospital - (NW602) , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NVC44, The Westbourne Centre - (NVC44) , * , 35 , -   , -   , -   , 35 , 505 , * , 75 , * ," 1,245 ", 90 , 60 , * , -   , -   , * , * , 25 , -   , 10 ,
NVC20, The Yorkshire Clinic - (NVC20) , 145 , 525 , 60 , 10 , * , 455 ," 2,325 ", 80 , 25 , 220 ," 2,835 ", 335 ," 3,440 "," 1,020 ", * , -   , 25 , 850 , 90 , -   , 330 ,
NLX22, Thornbury Hospital - (NLX22) , -   , -   , -   , * , -   , * , -   , -   , 15 , * , * , * , * , * , -   , -   , -   , 35 , 10 , -   , 45 ,
RA9, Torbay And South Devon NHS Foundation Trust - (RA9) ," 2,325 "," 13,405 "," 1,880 "," 1,335 ", 550 ," 1,760 "," 2,705 ", 405 ," 5,040 "," 5,225 "," 10,550 "," 1,485 "," 4,460 "," 3,680 "," 4,015 ", 515 , 125 ," 13,470 "," 4,905 ", 50 ," 4,805 ",
NN501, Trafford General Hospital - (NN501) , * , 55 , * , -   , -   , 80 , -   , 40 , -   , 145 , 240 , 125 , 480 , 45 , -   , -   , * , 40 , 10 , -   , * ,
NN401, Tyneside Surgical Services - (NN401) , 45 , 130 , 20 , * , -   , 50 , * , * , * , -   , 580 , 45 ," 1,150 ", 225 , -   , -   , * , 200 , 15 , -   , 90 ,
RWD, United Lincolnshire Hospitals NHS Trust - (RWD) ," 4,900 "," 29,495 "," 3,540 "," 2,785 ", 705 ," 2,400 "," 4,230 ", 495 ," 8,900 "," 10,290 "," 20,185 "," 2,975 "," 7,910 "," 8,045 "," 9,555 "," 1,525 ", 325 ," 14,125 "," 8,530 ", 45 ," 8,270 ",
RRV, University College London Hospitals NHS Foundation Trust - (RRV) ," 2,400 "," 50,290 "," 10,230 "," 3,520 "," 1,145 "," 16,310 ", 200 ," 1,385 "," 3,930 "," 7,105 "," 22,250 "," 2,075 "," 11,320 "," 6,940 "," 9,600 "," 1,275 ", 935 ," 20,945 "," 5,395 ", 165 ," 6,615 ",
RHM, University Hospital Southampton NHS Foundation Trust - (RHM) ," 3,480 "," 29,500 "," 3,045 "," 2,625 "," 1,430 "," 6,875 "," 6,695 ", 730 ," 11,770 "," 9,655 "," 18,125 "," 2,265 "," 8,990 "," 7,180 "," 7,190 "," 2,860 "," 2,440 "," 15,485 "," 12,260 ", 90 ," 8,700 ",
RRK-X, University Hospitals Birmingham NHS Foundation Trust - (RRK-X) ," 10,920 "," 51,275 "," 8,360 "," 8,630 "," 2,885 "," 6,820 "," 19,730 "," 1,670 "," 24,640 "," 29,475 "," 44,615 "," 9,230 "," 23,005 "," 18,805 "," 16,755 "," 3,225 "," 1,110 "," 55,630 "," 25,675 ", 530 ," 17,445 ",
RA7, University Hospitals Bristol NHS Foundation Trust - (RA7) ," 4,190 "," 30,225 "," 2,400 "," 3,105 "," 1,110 "," 2,625 "," 8,935 ", 955 ," 8,860 "," 8,105 "," 15,305 "," 2,965 "," 3,605 "," 3,190 "," 13,465 "," 2,315 "," 2,615 "," 13,165 "," 9,930 ", 55 ," 7,285 ",
RKB, University Hospitals Coventry And Warwickshire NHS Trust - (RKB) ," 3,855 "," 28,855 "," 3,595 "," 3,690 "," 1,760 "," 4,040 "," 4,875 ", 715 ," 9,210 "," 10,060 "," 18,640 "," 6,170 "," 11,790 "," 8,730 "," 10,665 "," 2,075 ", 830 ," 18,410 "," 12,295 ", 165 ," 13,355 ",
RTG, University Hospitals Of Derby And Burton NHS Foundation Trust - (RTG) ," 6,830 "," 37,845 "," 5,980 "," 5,395 "," 1,575 "," 4,915 "," 11,090 "," 1,770 "," 12,725 "," 16,060 "," 32,270 "," 9,850 "," 18,870 "," 11,500 "," 12,415 "," 3,530 ", 710 ," 33,385 "," 14,700 ", 240 ," 14,485 ",
RWE, University Hospitals Of Leicester NHS Trust - (RWE) ," 7,105 "," 40,315 "," 5,680 "," 4,745 "," 1,670 "," 5,455 "," 8,835 "," 1,575 "," 15,985 "," 18,230 "," 36,025 "," 4,415 "," 13,485 "," 14,620 "," 25,435 "," 4,250 "," 2,065 "," 30,210 "," 13,015 ", 205 ," 18,995 ",
RTX, University Hospitals Of Morecambe Bay NHS Foundation Trust - (RTX) ," 2,535 "," 14,035 "," 1,020 "," 1,030 ", 590 ," 1,610 "," 4,230 ", 495 ," 5,220 "," 6,955 "," 13,295 "," 1,745 "," 6,965 "," 5,605 "," 4,410 "," 1,015 ", 200 ," 9,180 "," 6,360 ", 120 ," 6,820 ",
RJE, University Hospitals Of North Midlands NHS Trust - (RJE) ," 5,145 "," 43,560 "," 5,440 "," 5,060 "," 1,580 "," 3,895 "," 4,095 "," 1,145 "," 15,470 "," 18,450 "," 25,895 "," 4,810 "," 12,350 "," 11,300 "," 20,235 "," 2,950 ", 840 ," 27,140 "," 13,585 ", 90 ," 14,430 ",
RK9, University Hospitals Plymouth NHS Trust - (RK9) ," 3,505 "," 22,660 "," 3,415 "," 2,095 ", 730 ," 3,655 "," 4,125 ", 675 ," 9,320 "," 8,825 "," 14,465 "," 2,815 "," 8,280 "," 5,985 "," 5,735 "," 1,650 ", 555 ," 17,910 "," 10,685 ", 40 ," 5,880 ",
NDA01, Virgin Care Services Ltd (Brook Green) - (NDA01) , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , * , * , -   , -   , -   , 430 , * , -   , -   ,
RBK, Walsall Healthcare NHS Trust - (RBK) ," 2,150 "," 3,940 "," 1,680 "," 1,965 ", 640 , 740 , 735 , 330 ," 3,640 "," 5,820 "," 9,585 "," 2,255 "," 5,510 "," 4,065 "," 10,830 "," 1,225 ", 135 ," 9,480 "," 3,765 ", 110 ," 4,555 ",
NTV0S, Walton Community Hospital - (NTV0S) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 530 , -   , -   , -   ,
AXG03, Warminster Community Hospital - (AXG03) , * , 10 , -   , -   , 10 , * , -   , * , 15 , 20 , * , 20 , 20 , 15 , -   , -   , * , 50 , 65 , * , * ,
RWW, Warrington And Halton Teaching Hospitals NHS Foundation Trust - (RWW) ," 2,450 "," 5,010 "," 1,495 "," 2,070 "," 1,040 ", 980 ," 4,825 ", 510 ," 3,510 "," 5,635 "," 11,620 "," 1,665 "," 5,255 "," 4,370 "," 5,540 "," 1,485 ", 200 ," 9,400 "," 5,815 ", 50 ," 4,115 ",
RWG, West Hertfordshire Hospitals NHS Trust - (RWG) ," 3,820 "," 9,095 "," 2,410 "," 1,990 ", 960 ," 1,615 "," 2,210 ", 550 ," 6,770 "," 6,965 "," 16,840 "," 2,305 "," 6,705 "," 6,425 "," 6,155 "," 1,775 ", 370 ," 15,320 "," 6,080 ", 130 ," 9,740 ",
NYG32, West Kent Dermatology - Borough Green Medical Practice - (NYG32) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,360 ", -   , -   , -   ,
NYG31, West Kent Dermatology - Sevenoaks Hospital - (NYG31) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 295 , -   , -   , -   ,
NVC21, West Midlands Hospital - (NVC21) , 10 , 35 , * , * , -   , 160 , 605 , * , * , 50 , 890 , 65 ," 1,920 ", 890 , -   , -   , * , 120 , 25 , -   , 145 ,
RGR, West Suffolk NHS Foundation Trust - (RGR) ," 2,595 "," 7,390 "," 1,560 "," 1,200 ", 435 , 915 ," 2,570 ", 395 ," 4,200 "," 4,815 "," 9,010 "," 2,140 "," 3,975 "," 3,275 "," 3,545 "," 1,055 ", 210 ," 7,900 "," 3,820 ", 25 ," 2,825 ",
NVC0M, West Valley Hospital - (NVC0M) , * , * , * , -   , -   , 25 , 85 , -   , -   , -   , 160 , * , 135 , 80 , -   , -   , * , 70 , * , -   , 55 ,
RYR-X, Western Sussex Hospitals NHS Foundation Trust - (RYR-X) ," 3,910 "," 20,835 "," 3,240 "," 2,595 ", 970 ," 2,410 "," 5,240 ", 505 ," 8,125 "," 8,165 "," 20,925 "," 3,990 "," 7,515 "," 7,255 "," 6,935 "," 1,530 ", 215 ," 17,845 "," 10,335 ", 60 ," 5,930 ",
RA3, Weston Area Health NHS Trust - (RA3) ," 1,085 "," 5,240 "," 1,215 "," 1,035 ", 240 , 405 , 25 , 65 ," 1,670 "," 2,750 "," 4,615 ", 640 ," 2,035 "," 1,745 ", 100 , * , 35 ," 4,210 "," 1,800 ", 10 , 945 ,
NXP17, White Horse Health Centre - IHG - (NXP17) , -   , * , -   , -   , -   , 105 , 380 , -   , -   , -   , 130 , * , 80 , * , -   , -   , * , -   , * , -   , 130 ,
RKE, Whittington Health NHS Trust - (RKE) ," 1,045 "," 5,170 "," 3,405 "," 1,100 ", 325 , 385 , 35 , 55 , 960 ," 2,440 "," 8,595 "," 1,110 "," 2,735 "," 2,780 "," 4,900 ", 440 , 55 ," 5,200 "," 2,560 ", 145 ," 1,520 ",
NTP16, Will Adams NHS Treatment Centre - (NTP16) , 65 , 220 , 15 , -   , -   , 40 ," 2,110 ", -   , 40 , * ," 1,660 ", 185 , 40 , -   , -   , -   , * , 435 , * , -   , 70 ,
AXG01, Wiltshire Health & Care (Chippenham) - (AXG01) , * , * , -   , * , * , * , -   , -   , 130 , 25 , * , * , 10 , * , -   , -   , -   , 40 , 60 , -   , -   ,
NHW03, Wimbourne Community Hospital (Standard Health) - (NHW03) , -   , -   , -   , -   , -   , 35 , -   , -   , -   , -   , -   , -   , 60 , -   , -   , -   , -   , -   , -   , -   , -   ,
NVC22, Winfield Hospital - (NVC22) , 15 , 35 , 10 , * , -   , 200 , -   , -   , * , 35 , 935 , 25 ," 1,300 ", 95 , -   , -   , * , 195 , 35 , -   , 25 ,
RBL, Wirral University Teaching Hospital NHS Foundation Trust - (RBL) ," 3,080 "," 10,790 "," 2,390 "," 3,350 "," 1,360 "," 1,460 "," 2,725 ", 575 ," 5,440 "," 9,130 "," 16,025 "," 3,485 "," 5,690 "," 7,710 "," 8,230 "," 2,145 ", 310 ," 11,865 "," 6,395 ", 70 ," 5,590 ",
NTV0O, Woking Community Hospital - (NTV0O) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 335 , -   , -   , -   ,
NVC23, Woodland Hospital - (NVC23) , 65 , 95 , 60 , * , * , 265 ," 1,610 ", 20 , * , 125 ," 2,285 ", 65 ," 3,225 ", 920 , -   , -   , 15 , 530 , 55 , -   , 90 ,
NVC40, Woodthorpe Hospital - (NVC40) , 25 , 55 , 70 , * , * , 280 ," 1,190 ", -   , 20 , 135 ," 1,370 ", 15 ," 2,380 ", 470 , -   , -   , * , 430 , 35 , -   , 115 ,
RWP-X, Worcestershire Acute Hospitals NHS Trust - (RWP-X) ," 3,530 "," 30,675 "," 3,460 "," 2,910 ", 660 ," 2,005 "," 15,350 ", 560 ," 8,700 "," 9,850 "," 22,995 "," 2,655 "," 7,600 "," 8,120 "," 8,240 "," 1,945 ", 445 ," 15,120 "," 7,690 ", 115 ," 8,145 ",
R1A, Worcestershire Health And Care NHS Trust - (R1A) , 30 , 445 , 115 , 45 , 710 , 80 , * , * , 385 , 315 , 90 , 135 , 205 , 250 , * , -   , -   , 385 , 905 , * ," 3,285 ",
RRF," Wrightington, Wigan And Leigh NHS Foundation Trust - (RRF) "," 1,940 "," 5,205 "," 2,410 "," 2,835 ", 795 ," 1,420 "," 1,730 ", 290 ," 4,860 "," 5,550 "," 13,565 "," 1,575 "," 13,150 "," 3,510 "," 3,730 "," 1,120 ", 255 ," 9,615 "," 6,910 ", 65 ," 2,910 ",
RLQ, Wye Valley NHS Trust - (RLQ) ," 1,735 "," 7,310 "," 2,145 "," 1,265 ", 505 ," 1,060 "," 3,265 ", 320 ," 3,175 "," 4,335 "," 7,930 "," 2,045 "," 4,545 "," 3,425 "," 2,915 ", 850 , 135 ," 8,540 "," 3,325 ", 20 ," 4,305 ",
RA4, Yeovil District Hospital NHS Foundation Trust - (RA4) ," 1,735 "," 7,920 "," 1,645 ", 900 , 515 , 885 ," 3,185 ", 130 ," 2,600 "," 2,925 "," 6,600 "," 1,115 "," 3,290 "," 2,345 "," 2,435 ", 385 , 80 ," 6,540 "," 4,075 ", * ," 2,360 ",
RCB, York Teaching Hospital NHS Foundation Trust - (RCB) ," 5,180 "," 22,965 "," 4,685 "," 4,535 "," 1,100 "," 3,240 "," 5,035 "," 1,135 "," 10,570 "," 11,195 "," 20,590 "," 4,500 "," 10,990 "," 8,900 "," 11,445 "," 1,830 ", 335 ," 18,795 "," 10,220 ", 30 ," 9,340 ",
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
*Small numbers,,,,,,,,,,,,,,,,,,,,,,,
"In order to protect patient confidentiality '*' appears in the table above for all sub-national breakdowns, where it is possible to calculate a value between 1 and 7 from the data presented. All other sub-national data has been rounded to the nearest 5.

If the national total is between 1 and 7 (inclusive), no sub-national breakdown will be displayed. 

If the national total is greater than or equal to 8;
a. Sub-national counts between 1 and 7 (inclusive) will be displayed as ’*’.
b. Zeroes will be unchanged.
c. All other counts will be rounded to the nearest 5.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Copyright © 2020, NHS Digital, Secondary Care Analysis. All Rights Reserved.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Responsible statistician:,,,,,,,,,,,,,,,,,,,,,,,
"Michael Barnes, Analytical Section Head, Secondary Care Analysis",,,,,,,,,,,,,,,,,,,,,,,
Contact via enquiries@nhsdigital.nhs.uk or 0300 303 5678,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Return to Contents,,,,,,,,,,,,,,,,,,,,,,,
