"Table E: Finished admission episodes by primary diagnosis chapter for England, Commissioning Region and individual provider (2017-18)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"NHS Digital, Hospital Episode Statistics for England. Inpatient statistics, 2017-18.",,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
, Commissioning Region/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,"Factors influencing health status and contact with health services 
(Z00-Z99)",
RRJ, The Royal Orthopaedic Hospital NHS Foundation Trust (RRJ) , -   ," 1,890 ", * , * , * ," 1,460 ", -   , -   , * , -   , -   , 45 ," 9,670 ", * , -   , -   , 265 , 15 ," 1,225 ", -   , 95 ,
RL4, The Royal Wolverhampton NHS Trust (RL4) ," 3,670 "," 24,835 "," 2,740 "," 1,580 ", 575 ," 1,725 "," 5,160 ", 530 ," 8,130 "," 7,400 "," 14,580 "," 1,860 "," 13,185 "," 6,060 "," 11,140 "," 2,265 ", 430 ," 10,390 "," 5,895 ", -   ," 7,055 ",
NN801, The Spencer Wing (Ramsgate Road) (NN801) , * , 55 , * , * , -   , * , -   , 15 , -   , 35 , 305 , 35 , 900 , 300 , -   , -   , * , 45 , 30 , -   , 15 ,
NN802, The Spencer Wing (William Harvey Hospital) (NN802) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , * , 185 , 60 , -   , -   , -   , 10 , -   , -   , 10 ,
RET, The Walton Centre NHS Foundation Trust (RET) , 15 , 665 , 25 , * , 35 ," 4,000 ", 60 , * , 760 , * , * , * ," 4,040 ", 30 , * , * , 155 , 655 , 620 , -   , 90 ,
NVC44, The Westbourne Centre (NVC44) , * , 40 , -   , -   , -   , 55 , 680 , -   , 50 , * , 805 , 75 , 65 , * , * , -   , * , * , * , -   , 25 ,
NVC20, The Yorkshire Clinic (NVC20) , 90 , 545 , 85 , 10 , 10 , 510 ," 1,925 ", 90 , 15 , 250 ," 3,045 ", 315 ," 4,405 ", 900 , -   , -   , 20 , 935 , 105 , -   , 285 ,
NLX22, Thornbury Hospital (NLX22) , * , -   , * , * , * , -   , -   , -   , 15 , 10 , * , * , * , * , -   , -   , -   , 65 , * , -   , 60 ,
RA9, Torbay And South Devon NHS Foundation Trust (RA9) ," 2,675 "," 11,565 "," 1,625 "," 1,160 ", 615 ," 1,640 "," 2,040 ", 435 ," 4,485 "," 5,455 "," 9,385 "," 1,260 "," 4,445 "," 3,380 "," 4,560 ", 585 , 140 ," 13,710 "," 5,100 ", -   ," 5,225 ",
NN501, Trafford General Hospital (NN501) , 15 , 20 , * , -   , -   , 90 , -   , 25 , -   , 130 , 85 , 25 , 335 , -   , -   , -   , -   , 30 , * , -   , * ,
NN401, Tyneside Surgical Services (NN401) , 25 , 70 , 10 , * , -   , 20 , * , -   , 10 , -   , 310 , 30 , 790 , 90 , -   , -   , -   , 130 , * , -   , 50 ,
RWD, United Lincolnshire Hospitals NHS Trust (RWD) ," 4,435 "," 27,340 "," 3,345 "," 2,425 ", 525 ," 2,230 "," 4,690 ", 535 ," 8,470 "," 9,250 "," 18,795 "," 2,770 "," 11,030 "," 7,435 "," 10,900 "," 1,510 ", 275 ," 14,410 "," 8,190 ", -   ," 8,820 ",
RRV, University College London Hospitals NHS Foundation Trust (RRV) ," 2,170 "," 49,290 "," 7,445 "," 3,165 "," 1,300 "," 9,455 ", 195 ," 1,735 "," 4,520 "," 7,925 "," 23,195 "," 2,710 "," 9,275 "," 7,835 "," 8,585 "," 3,860 "," 1,240 "," 11,540 "," 5,600 ", -   ," 6,710 ",
RHM, University Hospital Southampton NHS Foundation Trust (RHM) ," 4,270 "," 21,280 "," 2,485 "," 2,510 "," 1,055 "," 6,230 "," 6,250 ", 685 ," 11,230 "," 9,125 "," 15,245 "," 2,115 "," 9,000 "," 7,350 "," 7,410 "," 3,415 "," 2,920 "," 16,305 "," 11,920 ", -   ," 8,045 ",
RRK-X, University Hospitals Birmingham NHS Foundation Trust (RRK-X) ," 3,340 "," 15,730 "," 2,100 "," 2,865 ", 665 ," 2,755 "," 5,710 ", 760 ," 10,545 "," 7,620 "," 17,405 "," 2,915 "," 8,035 "," 6,085 ", 315 , * , 745 ," 15,910 "," 11,070 ", -   ," 4,370 ",
RA7, University Hospitals Bristol NHS Foundation Trust (RA7) ," 3,660 "," 27,965 "," 2,200 "," 2,805 ", 980 ," 2,375 "," 8,575 "," 1,145 "," 8,750 "," 8,225 "," 15,755 "," 2,425 "," 3,580 "," 3,160 "," 11,325 "," 2,890 "," 2,810 "," 12,125 "," 9,835 ", -   ," 7,585 ",
RKB, University Hospitals Coventry And Warwickshire NHS Trust (RKB) ," 4,630 "," 26,580 "," 3,675 "," 3,285 "," 1,230 "," 3,815 "," 5,135 ", 730 ," 9,160 "," 9,830 "," 17,130 "," 5,285 "," 12,435 "," 8,615 "," 13,395 "," 2,255 ", 665 ," 17,690 "," 13,085 ", -   ," 10,435 ",
RWE, University Hospitals Of Leicester NHS Trust (RWE) ," 10,175 "," 38,990 "," 5,330 "," 3,935 "," 1,620 "," 5,795 "," 9,485 "," 1,585 "," 14,970 "," 17,415 "," 33,635 "," 4,170 "," 13,165 "," 13,090 "," 26,895 "," 3,080 "," 2,140 "," 29,235 "," 13,155 ", -   ," 22,280 ",
RTX, University Hospitals Of Morecambe Bay NHS Foundation Trust (RTX) ," 3,240 "," 12,385 "," 1,030 ", 960 , 550 ," 1,660 "," 3,950 ", 530 ," 4,655 "," 6,885 "," 11,245 "," 1,485 "," 7,885 "," 5,140 "," 4,565 "," 1,225 ", 240 ," 9,250 "," 5,845 ", -   ," 7,205 ",
RJE, University Hospitals Of North Midlands NHS Trust (RJE) ," 5,920 "," 39,750 "," 4,985 "," 4,160 "," 1,065 "," 4,565 "," 4,035 "," 1,120 "," 14,990 "," 16,680 "," 24,130 "," 4,310 "," 10,720 "," 10,140 "," 18,270 "," 3,490 ", 790 ," 21,445 "," 11,985 ", -   ," 13,165 ",
RBK, Walsall Healthcare NHS Trust (RBK) ," 2,490 "," 5,170 "," 1,365 "," 1,540 ", 465 , 795 , 905 , 345 ," 3,505 "," 5,620 "," 8,885 "," 1,735 "," 4,845 "," 3,785 "," 8,205 "," 1,610 ", 195 ," 8,915 "," 3,370 ", -   ," 3,605 ",
NTV0S, Walton Community Hospital (NTV0S) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 525 , -   , -   , -   ,
RWW, Warrington And Halton Hospitals NHS Foundation Trust (RWW) ," 2,705 "," 4,710 "," 1,375 "," 1,840 ", 785 ," 1,100 "," 4,730 ", 420 ," 3,520 "," 5,095 "," 11,490 "," 1,315 "," 5,590 "," 4,085 "," 5,745 "," 1,690 ", 190 ," 10,025 "," 5,270 ", -   ," 4,120 ",
RWG, West Hertfordshire Hospitals NHS Trust (RWG) ," 4,480 "," 8,730 "," 2,180 "," 1,800 ", 860 ," 1,430 "," 2,080 ", 540 ," 6,495 "," 6,435 "," 15,915 "," 2,075 "," 8,280 "," 6,215 "," 8,330 "," 2,925 ", 595 ," 10,125 "," 5,760 ", -   ," 7,585 ",
NYG32, West Kent Dermatology - Borough Green Medical Practice (NYG32) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,550 ", -   , -   , -   ,
NYG29, West Kent Dermatology - Maidstone Hospital (NYG29) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 135 , -   , -   , -   ,
NYG31, West Kent Dermatology - Sevenoaks Hospital (NYG31) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 380 , -   , -   , -   ,
NYG30, West Kent Dermatology - Tunbridge Wells Hospital (NYG30) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 45 , -   , -   , -   ,
RKL, West London Mental Health NHS Trust (RKL) , -   , -   , -   , * ," 1,485 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 35 , -   , -   , * ,
NVC21, West Midlands Hospital (NVC21) , 10 , 40 , * , 10 , * , 135 , 385 , * , * , 55 ," 1,085 ", 35 ," 1,915 ", 765 , -   , -   , * , 175 , 35 , -   , 80 ,
RGR, West Suffolk NHS Foundation Trust (RGR) ," 3,075 "," 7,070 "," 1,355 ", 880 , 330 , 930 ," 2,955 ", 530 ," 3,900 "," 4,720 "," 9,150 "," 2,055 "," 4,335 "," 3,210 "," 3,750 "," 1,235 ", 205 ," 7,085 "," 3,800 ", -   ," 2,755 ",
RYR-X, Western Sussex Hospitals NHS Foundation Trust (RYR-X) ," 5,345 "," 20,335 "," 2,785 "," 2,330 ", 830 ," 2,200 "," 4,270 ", 560 ," 8,105 "," 7,930 "," 19,685 "," 3,520 "," 7,415 "," 7,525 "," 7,170 "," 1,780 ", 285 ," 15,610 "," 9,450 ", -   ," 6,970 ",
RA3, Weston Area Health NHS Trust (RA3) ," 1,365 "," 4,780 "," 1,135 ", 650 , 165 , 395 , 20 , 50 ," 1,515 "," 2,455 "," 4,245 ", 825 ," 2,265 "," 1,850 ", 260 , 60 , 20 ," 3,985 "," 1,930 ", -   ," 1,150 ",
NXP17, White Horse Health Centre - Ihg (NXP17) , -   , -   , -   , -   , -   , 110 , 265 , -   , -   , -   , 135 , * , 50 , -   , -   , -   , -   , -   , -   , -   , 105 ,
RKE, Whittington Health NHS Trust (RKE) ," 1,970 "," 4,695 "," 3,355 "," 1,040 ", 340 , 505 , 25 , 60 ," 1,125 "," 2,375 "," 7,685 "," 1,025 "," 2,610 "," 2,710 "," 5,275 "," 1,205 ", 105 ," 4,510 "," 2,620 ", -   ," 2,770 ",
NXP30, Widcombe Surgery (NXP30) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NTP16, Will Adams NHS Treatment Centre (NTP16) , 60 , 200 , 15 , * , -   , 70 ," 1,770 ", -   , 50 , * ," 1,415 ", 155 , 225 , 30 , -   , -   , 10 , 295 , * , -   , 55 ,
NVC22, Winfield Hospital (NVC22) , 10 , 60 , 30 , * , -   , 235 , -   , -   , * , 25 , 870 , 15 ," 1,470 ", 125 , -   , -   , * , 165 , 40 , -   , 25 ,
RBL, Wirral University Teaching Hospital NHS Foundation Trust (RBL) ," 5,095 "," 9,670 "," 2,265 "," 2,935 "," 1,270 "," 1,795 "," 2,350 ", 585 ," 5,725 "," 8,305 "," 16,180 "," 3,050 "," 6,705 "," 8,885 "," 8,830 "," 2,275 ", 220 ," 13,010 "," 6,755 ", -   ," 5,950 ",
NQ719, Wisdom Hospice (NQ719) , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , 305 , -   , -   , -   ,
NTV0O, Woking Community Hospital (NTV0O) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 280 , -   , -   , -   ,
NVC23, Woodland Hospital (NVC23) , 75 , 80 , 50 , * , * , 145 ," 1,210 ", 15 , * , 90 ," 1,675 ", 55 ," 3,030 ", 850 , -   , -   , 10 , 435 , 45 , -   , 80 ,
NVC40, Woodthorpe Hospital (NVC40) , 45 , 135 , 100 , * , * , 170 , 575 , -   , * , 125 ," 1,225 ", 35 ," 2,140 ", 310 , -   , -   , * , 545 , 60 , -   , 70 ,
RWP-X, Worcestershire Acute Hospitals NHS Trust (RWP-X) ," 3,895 "," 27,295 "," 3,265 "," 2,615 ", 530 ," 1,940 "," 12,345 ", 665 ," 7,905 "," 8,435 "," 21,360 "," 1,885 "," 8,285 "," 8,180 "," 8,955 "," 2,340 ", 475 ," 14,880 "," 7,230 ", -   ," 7,645 ",
R1A, Worcestershire Health And Care NHS Trust (R1A) , 40 , 375 , 85 , 15 , 610 , 70 , -   , -   , 360 , 130 , 65 , 40 , 95 , 90 , -   , -   , -   ," 1,980 ", 320 , -   ," 3,485 ",
RRF," Wrightington, Wigan And Leigh NHS Foundation Trust (RRF) "," 2,125 "," 5,775 "," 2,605 "," 2,435 ", 655 ," 1,660 "," 1,635 ", 290 ," 4,940 "," 5,535 "," 13,555 "," 1,575 "," 13,930 "," 3,660 "," 4,020 "," 1,545 ", 280 ," 9,350 "," 6,370 ", -   ," 3,315 ",
RLQ, Wye Valley NHS Trust (RLQ) ," 1,830 "," 6,400 ", 985 , 970 , 290 ," 1,195 "," 2,770 ", 380 ," 2,790 "," 4,000 "," 6,010 "," 1,795 "," 4,460 "," 2,955 "," 2,725 ", 935 , 160 ," 6,200 "," 3,065 ", -   ," 3,155 ",
RA4, Yeovil District Hospital NHS Foundation Trust (RA4) ," 1,695 "," 7,235 "," 1,445 ", 730 , 355 , 825 ," 1,935 ", 105 ," 2,330 "," 2,580 "," 6,125 "," 1,010 "," 3,195 "," 2,305 "," 2,470 ", 340 , 75 ," 6,300 "," 3,475 ", -   ," 2,375 ",
RCB, York Teaching Hospital NHS Foundation Trust (RCB) ," 5,655 "," 21,620 "," 4,370 "," 3,640 ", 900 ," 3,170 "," 5,885 ", 990 ," 10,025 "," 10,105 "," 19,990 "," 3,505 "," 11,275 "," 8,265 "," 11,265 "," 1,850 ", 340 ," 15,535 "," 9,715 ", -   ," 9,895 ",
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
*Small numbers,,,,,,,,,,,,,,,,,,,,,,,
"In order to protect patient confidentiality '*' appears in the table above for all sub-national breakdowns, where it is possible to calculate a value between 1 and 7 from the data presented. All other sub-national data has been rounded to the nearest 5.

If the national total is between 1 and 7 (inclusive), no sub-national breakdown will be displayed. 

If the national total is greater than or equal to 8;
a. Sub-national counts between 1 and 7 (inclusive) will be displayed as ’*’.
b. Zeroes will be unchanged.
c. All other counts will be rounded to the nearest 5.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Copyright © 2018, NHS Digital, Secondary Care Analysis. All Rights Reserved.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Responsible statistician:,,,,,,,,,,,,,,,,,,,,,,,
"Michael Barnes, Principal Information Analyst, Secondary Care Analysis",,,,,,,,,,,,,,,,,,,,,,,
Contact via enquiries@nhsdigital.nhs.uk or 0300 303 5678,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Return to Contents,,,,,,,,,,,,,,,,,,,,,,,
